index,roll_H,Kalman_roll,torque
16952,6,5,2
16953,8,6,-1
16954,8,7,0
16955,11,7,-3
16956,10,8,-1
16957,10,8,-2
16958,6,9,-5
16959,5,8,-8
16960,8,9,-10
16961,11,9,-8
16962,8,9,-11
16963,12,10,-9
16964,13,11,-12
16965,17,13,-10
16966,16,15,-13
16967,16,16,-11
16968,13,16,-12
16969,15,15,-9
16970,12,15,-6
16971,16,15,-5
16972,12,15,-7
16973,13,15,-3
16974,13,15,-2
16975,12,14,-2
16976,15,14,0
16977,17,14,0
16978,15,14,0
16979,17,14,0
16980,20,15,0
16981,15,15,1
16982,11,14,2
16983,17,13,5
16984,9,12,6
16985,9,10,5
16986,12,9,4
16987,11,9,2
16988,10,8,3
16989,12,9,1
16990,12,9,3
16991,10,10,5
16992,9,9,3
16993,10,9,6
16994,9,8,4
16995,5,7,4
16996,4,6,2
16997,6,5,2
16998,6,5,-2
16999,3,4,-3
17000,0,3,-3
17001,2,3,-1
17002,1,2,-4
17003,2,2,-5
17004,4,3,-4
17005,2,3,-6
17006,1,3,-4
17007,5,3,-7
17008,-2,1,-3
17009,2,1,-6
17010,1,2,-3
17011,0,2,-6
17012,6,3,-4
17013,5,4,-7
17014,5,6,-4
17015,7,6,-3
17016,12,9,-6
17017,10,10,-6
17018,14,11,-6
17019,16,12,-8
17020,17,13,-6
17021,17,15,-11
17022,17,16,-8
17023,17,17,-7
17024,15,17,-6
17025,16,17,-5
17026,15,17,-5
17027,17,17,-5
17028,17,16,-2
17029,17,16,-3
17030,15,17,-1
17031,15,16,-4
17032,12,15,1
17033,13,14,1
17034,13,14,1
17035,14,14,3
17036,15,13,-1
17037,13,13,1
17038,15,12,-1
17039,17,12,-1
17040,11,12,-1
17041,9,11,-1
17042,4,9,0
17043,9,9,2
17044,9,10,2
17045,7,9,1
17046,7,8,0
17047,10,8,2
17048,6,7,1
17049,12,6,-2
17050,13,7,-1
17051,12,7,-3
17052,14,9,-2
17053,9,10,-1
17054,6,9,0
17055,3,8,1
17056,4,7,0
17057,5,5,-2
17058,7,5,-3
17059,4,5,0
17060,7,4,-2
17061,6,4,-1
17062,2,3,2
17063,-3,1,0
17064,0,0,0
17065,-3,0,5
17066,0,0,4
17067,0,0,0
17068,0,0,-1
17069,-1,0,-3
17070,-1,-1,0
17071,-1,-1,-3
17072,0,-1,-3
17073,2,0,-5
17074,0,0,-3
17075,2,2,-1
17076,3,3,-2
17077,4,4,-5
17078,8,5,-7
