index,roll_H,Kalman_roll,torque
17079,14,7,-7
17080,13,10,-8
17081,13,11,-6
17082,11,11,-6
17083,11,11,-4
17084,8,11,-2
17085,6,10,0
17086,6,9,0
17087,4,8,2
17088,5,7,1
17089,7,6,-1
17090,6,5,-1
17091,5,4,0
17092,6,4,1
17093,3,4,0
17094,0,3,1
17095,3,3,0
17096,6,4,0
17097,5,5,-4
17098,6,5,-6
17099,6,6,-3
17100,9,6,-6
17101,10,8,-9
17102,10,9,-9
17103,13,10,-11
17104,10,11,-11
17105,8,11,-11
17106,9,10,-11
17107,12,11,-10
17108,10,11,-13
17109,11,11,-14
17110,14,12,-16
17111,14,13,-14
17112,17,14,-14
17113,19,16,-12
17114,15,17,-10
17115,15,17,-10
17116,13,17,-6
17117,16,18,-9
17118,16,18,-7
17119,14,17,-5
17120,16,16,-8
17121,19,16,-7
17122,19,17,-5
17123,18,17,-5
17124,20,17,-2
17125,22,17,-5
17126,15,16,-2
17127,17,16,-4
17128,12,15,-1
17129,10,14,-4
17130,14,13,-1
17131,7,12,0
17132,6,10,-3
17133,7,8,0
17134,3,6,-2
17135,6,5,-3
17136,8,6,-1
17137,9,6,-3
17138,8,7,-7
17139,9,7,-5
17140,7,7,-3
17141,5,8,-1
17142,8,7,-3
17143,13,7,-1
17144,11,9,-3
17145,7,7,-2
17146,6,6,-2
17147,8,5,-1
17148,8,5,0
17149,7,5,1
17150,8,6,0
17151,5,6,1
17152,6,6,2
17153,7,6,3
17154,3,5,3
17155,3,4,0
17156,7,3,3
17157,5,4,0
17158,0,2,2
17159,0,1,2
17160,0,0,4
17161,0,0,1
17162,-1,-1,4
17163,-2,-1,2
17164,-5,-3,4
17165,-2,-3,2
17166,-6,-4,2
17167,-6,-5,2
17168,-9,-6,-2
17169,-9,-6,-1
17170,-6,-6,1
17171,-6,-5,1
17172,-3,-5,1
17173,-6,-5,2
17174,-2,-5,0
17175,-1,-4,2
17176,0,-3,0
17177,5,-1,-1
17178,0,0,1
17179,0,0,-3
17180,-1,0,0
17181,-2,0,-3
17182,0,0,-5
17183,-1,0,-5
17184,0,0,-8
17185,2,0,-10
17186,3,1,-13
17187,7,3,-14
17188,6,5,-17
17189,5,6,-16
17190,8,8,-19
17191,13,11,-22
17192,11,13,-22
17193,14,14,-23
17194,9,14,-21
17195,13,14,-19
17196,17,16,-20
17197,15,17,-18
17198,17,18,-14
17199,18,19,-13
17200,15,19,-12
17201,16,19,-8
17202,15,19,-6
17203,17,18,-5
17204,23,19,-5
17205,21,20,-8
17206,26,21,-9
17207,27,22,-7
17208,29,24,-9
17209,25,25,-8
17210,22,23,-7
17211,26,22,-9
17212,32,25,-11
17213,20,25,-10
17214,19,23,-9
17215,22,22,-7
17216,26,24,-29
17217,21,24,-53
17218,22,22,-55
17219,24,21,-48
17220,22,21,-39
17221,23,19,-37
17222,19,18,-30
17223,19,17,-20
17224,20,15,-14
17225,21,13,-4
17226,20,12,8
17227,14,9,19
17228,5,4,31
17229,3,0,43
17230,-1,-6,55
17231,-10,-13,62
17232,-18,-22,72
17233,-24,-30,81
17234,-30,-39,89
17235,-39,-49,97
17236,-51,-59,105
17237,-62,-70,109
17238,-76,-81,117
17239,-86,-93,122
17240,-94,-102,120
17241,-107,-113,126
17242,-124,-124,131
17243,-132,-137,131
17244,-148,-149,127
17245,-158,-162,123
17246,-168,-172,118
17247,-181,-183,112
17248,-195,-194,106
17249,-205,-205,102
17250,-214,-214,97
17251,-227,-223,86
17252,-229,-231,84
17253,-239,-237,79
17254,-247,-243,72
17255,-247,-248,69
17256,-251,-251,59
17257,-259,-254,58
17258,-255,-256,56
17259,-259,-258,57
17260,-261,-259,55
17261,-253,-258,55
17262,-258,-257,51
17263,-263,-258,52
17264,-259,-257,54
17265,-254,-257,58
17266,-256,-256,64
17267,-260,-256,65
17268,-254,-257,69
17269,-256,-257,74
17270,-259,-257,74
17271,-258,-257,77
17272,-251,-257,80
17273,-251,-256,84
17274,-260,-258,89
17275,-261,-261,92
17276,-263,-263,95
17277,-273,-267,96
17278,-276,-271,97
17279,-274,-275,98
17280,-275,-277,100
17281,-278,-279,103
17282,-276,-281,99
17283,-282,-283,97
17284,-286,-285,96
17285,-277,-286,95
17286,-283,-286,95
17287,-286,-288,97
17288,-282,-289,93
17289,-289,-290,90
17290,-291,-290,91
17291,-288,-291,89
17292,-294,-294,84
17293,-301,-296,89
17294,-301,-298,86
17295,-306,-301,82
17296,-310,-303,85
17297,-307,-306,85
17298,-306,-307,84
17299,-308,-307,83
17300,-304,-306,83
17301,-298,-304,83
17302,-303,-303,84
17303,-295,-302,88
17304,-301,-301,89
17305,-306,-302,87
17306,-298,-303,95
17307,-300,-303,90
17308,-305,-302,91
17309,-301,-303,95
17310,-303,-303,91
17311,-310,-304,91
17312,-305,-306,89
17313,-304,-306,88
17314,-309,-306,89
17315,-302,-307,89
17316,-305,-307,89
17317,-311,-308,86
17318,-302,-307,86
17319,-299,-305,84
17320,-304,-303,81
17321,-302,-303,85
17322,-300,-303,84
17323,-301,-301,84
17324,-300,-300,86
17325,-295,-299,88
17326,-296,-297,87
17327,-298,-297,89
17328,-296,-297,91
17329,-298,-297,91
17330,-301,-298,92
17331,-298,-299,90
17332,-300,-299,90
17333,-302,-299,90
17334,-296,-299,89
17335,-300,-299,87
17336,-303,-300,93
17337,-301,-301,90
17338,-304,-301,89
17339,-300,-300,92
17340,-298,-301,92
17341,-303,-302,91
17342,-308,-302,94
17343,-301,-303,94
17344,-306,-303,93
17345,-309,-305,94
17346,-306,-308,98
17347,-312,-308,98
17348,-312,-309,96
17349,-306,-310,99
17350,-309,-309,95
17351,-309,-309,93
17352,-302,-308,93
17353,-310,-308,94
17354,-309,-308,94
17355,-308,-309,91
17356,-309,-308,91
17357,-308,-307,91
17358,-305,-307,94
17359,-303,-306,93
17360,-307,-306,94
17361,-302,-305,92
17362,-309,-305,92
17363,-303,-306,95
17364,-302,-305,94
17365,-311,-304,95
17366,-308,-306,98
17367,-308,-308,96
17368,-312,-309,96
17369,-306,-308,95
17370,-300,-307,92
17371,-305,-305,94
17372,-305,-305,95
17373,-305,-306,92
17374,-312,-307,97
17375,-307,-309,97
17376,-307,-309,93
17377,-313,-309,93
17378,-309,-310,92
17379,-311,-310,87
17380,-312,-311,90
17381,-307,-309,86
17382,-308,-308,84
17383,-310,-308,86
17384,-308,-308,88
17385,-305,-307,82
17386,-306,-305,84
17387,-297,-303,84
17388,-298,-301,83
17389,-298,-299,86
17390,-295,-297,87
17391,-297,-296,84
17392,-300,-296,86
17393,-296,-297,86
17394,-300,-298,86
17395,-300,-298,88
17396,-295,-297,89
17397,-294,-297,89
17398,-301,-297,91
17399,-294,-297,92
17400,-292,-296,93
17401,-297,-295,96
17402,-291,-296,97
17403,-290,-294,100
17404,-293,-293,96
17405,-290,-293,100
17406,-292,-294,99
17407,-296,-295,97
17408,-291,-295,95
17409,-293,-294,95
17410,-298,-295,92
17411,-292,-295,92
17412,-301,-296,91
17413,-303,-298,90
17414,-294,-298,91
17415,-294,-297,90
17416,-299,-297,90
17417,-298,-297,87
17418,-295,-296,85
17419,-301,-297,85
17420,-295,-297,87
17421,-294,-296,86
17422,-302,-296,85
17423,-296,-297,87
17424,-291,-296,84
17425,-295,-295,87
17426,-292,-294,88
17427,-294,-293,85
17428,-296,-293,86
17429,-296,-294,89
17430,-294,-294,88
17431,-297,-294,88
17432,-291,-293,93
17433,-286,-291,90
17434,-289,-290,90
17435,-293,-290,90
17436,-290,-290,90
17437,-293,-290,88
17438,-292,-291,88
17439,-292,-292,85
17440,-299,-292,85
17441,-296,-293,89
17442,-288,-293,89
17443,-292,-292,84
17444,-295,-292,89
17445,-290,-292,86
17446,-292,-292,89
17447,-291,-292,89
17448,-291,-292,92
17449,-294,-292,93
17450,-291,-292,96
17451,-292,-293,100
