index,roll_H,Kalman_roll,torque
17601,-303,-297,97
17602,-297,-299,93
17603,-304,-300,90
17604,-303,-301,90
17605,-301,-302,87
17606,-302,-302,85
17607,-296,-301,84
17608,-303,-301,79
17609,-309,-302,79
17610,-297,-301,79
17611,-299,-301,76
17612,-300,-300,76
17613,-294,-297,78
17614,-293,-295,77
17615,-298,-294,76
17616,-291,-294,80
17617,-292,-292,77
17618,-295,-291,79
17619,-291,-291,78
17620,-285,-290,76
17621,-288,-289,77
17622,-282,-286,79
17623,-279,-282,80
17624,-283,-281,77
17625,-279,-280,80
17626,-280,-280,83
17627,-282,-280,88
17628,-283,-281,91
17629,-279,-281,93
17630,-284,-282,93
17631,-285,-284,98
17632,-279,-284,98
17633,-284,-284,97
17634,-284,-283,95
17635,-281,-284,98
17636,-295,-288,94
17637,-293,-290,98
17638,-287,-291,97
17639,-294,-293,90
17640,-295,-294,91
17641,-292,-294,86
17642,-295,-294,82
17643,-291,-293,84
17644,-286,-292,84
17645,-293,-291,81
17646,-293,-292,85
17647,-286,-291,86
17648,-290,-290,83
17649,-291,-290,85
17650,-288,-290,84
17651,-291,-289,84
17652,-286,-288,86
17653,-285,-288,83
17654,-291,-288,82
17655,-294,-289,85
17656,-293,-290,85
17657,-292,-290,88
17658,-286,-289,91
17659,-283,-288,90
17660,-290,-288,90
17661,-291,-288,89
17662,-282,-288,89
17663,-289,-288,88
17664,-291,-289,90
17665,-288,-289,85
17666,-296,-289,85
17667,-292,-291,84
17668,-289,-291,86
17669,-293,-291,83
17670,-288,-290,87
17671,-284,-289,89
17672,-286,-288,88
17673,-284,-286,91
17674,-283,-286,88
17675,-292,-287,87
17676,-290,-288,94
17677,-283,-288,94
17678,-288,-289,92
17679,-292,-289,94
17680,-288,-290,92
17681,-293,-291,92
17682,-293,-292,92
17683,-290,-293,87
17684,-292,-293,84
17685,-290,-292,84
17686,-284,-291,85
17687,-290,-290,77
17688,-288,-289,80
17689,-284,-288,75
17690,-291,-287,72
17691,-287,-287,77
17692,-284,-286,73
17693,-290,-286,76
17694,-289,-286,77
17695,-284,-286,82
17696,-286,-285,83
17697,-282,-284,83
17698,-284,-284,86
17699,-289,-284,86
17700,-289,-285,89
17701,-286,-287,90
17702,-288,-288,91
17703,-290,-288,91
17704,-284,-289,89
17705,-284,-288,89
17706,-285,-287,87
17707,-282,-287,87
17708,-285,-286,83
17709,-295,-287,86
17710,-286,-288,85
17711,-292,-289,82
17712,-291,-290,80
17713,-289,-290,78
17714,-293,-291,77
17715,-292,-291,79
17716,-286,-290,83
17717,-287,-289,78
17718,-289,-289,79
17719,-284,-287,81
17720,-282,-285,81
17721,-281,-284,80
17722,-281,-283,80
17723,-287,-284,79
17724,-291,-285,81
17725,-288,-286,81
17726,-286,-287,82
17727,-287,-286,79
17728,-289,-287,76
17729,-288,-288,79
17730,-286,-287,78
17731,-279,-284,79
17732,-277,-282,78
17733,-277,-281,77
17734,-284,-281,76
17735,-277,-280,80
17736,-279,-280,81
17737,-281,-280,79
17738,-279,-281,84
17739,-284,-282,81
17740,-286,-282,82
17741,-282,-282,87
17742,-278,-281,84
17743,-279,-281,83
17744,-283,-282,89
17745,-279,-282,87
17746,-285,-282,85
17747,-288,-284,88
17748,-283,-285,88
17749,-288,-287,85
17750,-292,-288,85
17751,-291,-290,86
17752,-291,-290,81
17753,-289,-290,86
17754,-286,-290,84
17755,-286,-289,82
17756,-289,-288,85
17757,-286,-288,86
17758,-281,-287,83
17759,-289,-287,82
17760,-287,-288,85
17761,-288,-288,86
17762,-290,-288,88
17763,-291,-289,90
17764,-287,-290,90
17765,-296,-291,85
17766,-299,-294,87
17767,-293,-295,87
17768,-295,-295,86
17769,-293,-295,84
17770,-292,-295,84
17771,-300,-295,81
17772,-297,-296,77
17773,-289,-294,74
17774,-293,-294,72
17775,-294,-293,73
17776,-295,-294,73
17777,-299,-294,72
17778,-298,-294,72
17779,-288,-294,76
17780,-286,-291,73
17781,-291,-290,72
17782,-290,-288,75
17783,-286,-287,72
17784,-286,-286,77
17785,-283,-286,80
17786,-279,-284,79
17787,-283,-282,75
17788,-283,-281,80
17789,-283,-281,80
17790,-280,-282,80
17791,-283,-283,80
17792,-284,-284,85
17793,-285,-284,80
17794,-286,-284,79
17795,-281,-283,79
17796,-279,-283,80
17797,-285,-283,78
17798,-289,-284,76
17799,-284,-285,78
17800,-284,-284,77
17801,-284,-285,79
17802,-281,-284,76
17803,-280,-283,79
17804,-286,-283,78
17805,-285,-283,80
17806,-277,-282,79
17807,-281,-282,78
17808,-287,-283,75
17809,-281,-283,77
17810,-281,-282,77
17811,-285,-282,75
17812,-277,-282,77
17813,-276,-282,75
17814,-282,-281,75
17815,-282,-280,77
17816,-278,-280,79
17817,-275,-279,75
17818,-281,-279,81
17819,-275,-280,79
17820,-284,-281,79
17821,-291,-283,79
17822,-287,-284,80
17823,-283,-285,82
17824,-284,-286,80
17825,-287,-286,80
17826,-281,-286,78
17827,-284,-284,79
17828,-285,-283,78
17829,-279,-283,82
17830,-280,-283,79
17831,-287,-284,80
17832,-289,-286,80
17833,-287,-287,81
17834,-288,-287,84
17835,-292,-289,89
17836,-288,-291,88
17837,-296,-293,84
17838,-299,-294,87
17839,-291,-294,85
17840,-298,-295,88
17841,-292,-295,88
17842,-294,-296,85
17843,-298,-296,83
17844,-300,-296,92
17845,-294,-297,115
17846,-297,-297,140
17847,-297,-298,136
17848,-292,-298,128
