index,roll_H,Kalman_roll,torque
17849,-300,-297,125
17850,-304,-297,122
17851,-297,-298,119
17852,-302,-299,115
17853,-302,-299,110
17854,-302,-298,103
17855,-301,-297,97
17856,-293,-295,87
17857,-293,-292,78
17858,-293,-288,72
17859,-285,-284,63
17860,-284,-280,54
17861,-284,-276,48
17862,-276,-271,35
17863,-272,-265,20
17864,-268,-259,12
17865,-256,-251,-1
17866,-250,-243,-15
17867,-243,-233,-25
17868,-229,-223,-30
17869,-213,-211,-41
17870,-201,-198,-43
17871,-190,-185,-47
17872,-178,-172,-43
17873,-159,-159,-39
17874,-146,-146,-41
17875,-131,-132,-41
17876,-114,-119,-44
17877,-104,-106,-43
17878,-90,-94,-43
17879,-83,-83,-40
17880,-73,-72,-37
17881,-65,-63,-28
17882,-59,-55,-26
17883,-51,-48,-21
17884,-47,-42,-15
17885,-42,-38,-7
17886,-34,-33,-3
17887,-22,-28,1
17888,-18,-22,6
17889,-14,-18,8
17890,-12,-13,9
17891,-11,-11,15
17892,-14,-10,20
17893,-12,-11,23
17894,-11,-10,24
17895,-13,-10,23
17896,-12,-11,19
17897,-12,-12,19
17898,-9,-13,15
17899,-11,-13,12
17900,-12,-14,11
17901,-10,-14,6
17902,-13,-14,2
17903,-14,-14,2
17904,-18,-14,0
17905,-20,-15,-1
17906,-20,-16,-5
17907,-19,-16,-8
17908,-16,-15,-11
17909,-13,-13,-17
17910,-14,-12,-15
17911,-9,-11,-19
17912,-8,-9,-18
17913,-7,-6,-22
17914,-4,-4,-20
17915,-3,-2,-17
17916,-1,-1,-16
17917,-3,0,-13
17918,0,1,-12
17919,4,3,-11
17920,6,5,-9
17921,8,6,-10
17922,5,6,-7
17923,8,7,-6
17924,11,9,-8
17925,12,11,-8
17926,8,12,-7
17927,1,10,-6
17928,8,9,-5
17929,12,10,-4
17930,17,11,-5
17931,16,12,-9
17932,15,13,-6
17933,13,13,-5
17934,15,13,-7
17935,15,13,-5
17936,12,13,-5
17937,9,11,-5
17938,17,11,-6
17939,14,13,-4
17940,11,13,-6
17941,11,13,-4
17942,14,13,-3
17943,11,13,-3
17944,9,12,0
17945,8,10,0
17946,11,10,1
17947,13,9,-3
17948,16,10,-5
17949,16,11,-3
17950,17,12,-3
17951,15,13,-1
17952,15,12,0
17953,12,12,0
17954,12,12,-3
17955,13,12,-2
17956,8,11,0
17957,6,9,-1
17958,10,8,-3
17959,11,7,0
17960,15,8,0
17961,13,10,1
17962,12,10,2
17963,7,10,4
17964,6,9,6
17965,0,7,5
17966,3,5,3
17967,6,4,0
17968,7,4,-2
17969,3,3,-4
17970,0,1,-6
17971,1,0,-6
17972,2,0,-10
17973,0,0,-9
17974,4,1,-7
17975,0,2,-8
17976,-4,2,-8
17977,0,2,-7
17978,0,2,-8
17979,-1,1,-9
17980,1,1,-9
17981,-1,0,-10
17982,2,0,-12
17983,3,1,-12
17984,8,3,-7
17985,10,5,-10
17986,11,8,-7
17987,11,9,-10
17988,12,10,-8
17989,16,12,-11
17990,13,13,-8
17991,15,13,-7
17992,18,14,-9
17993,15,15,-7
17994,14,15,-7
17995,12,14,-4
17996,13,13,-6
17997,13,13,-3
17998,12,12,-6
17999,13,12,-7
18000,11,12,-7
18001,10,12,-9
18002,8,11,-7
18003,8,11,-9
18004,5,10,-5
18005,4,8,-6
18006,11,8,-12
18007,13,9,-13
18008,11,9,-15
18009,16,11,-15
18010,15,12,-13
18011,20,14,-12
18012,20,16,-11
18013,19,18,-9
18014,16,18,-9
18015,17,18,-6
18016,18,17,-1
18017,17,17,0
18018,18,16,0
18019,15,15,4
18020,9,13,6
18021,13,12,4
18022,13,12,7
18023,13,11,6
18024,14,11,9
18025,10,10,8
18026,9,9,11
18027,1,5,9
18028,1,3,8
18029,0,1,7
18030,-2,0,7
18031,-3,-1,5
18032,0,-1,0
18033,1,-1,0
18034,0,-1,0
18035,0,-1,-3
18036,-1,-1,-6
18037,0,-1,-6
18038,1,0,-7
18039,-4,0,-8
18040,1,0,-9
18041,-1,0,-9
18042,-4,0,-12
18043,0,0,-9
18044,3,1,-7
18045,2,3,-5
18046,-1,2,-6
18047,1,1,-3
18048,0,1,-1
18049,2,1,-1
18050,1,1,0
18051,1,0,-1
18052,5,1,0
18053,7,3,-1
18054,3,4,0
18055,8,4,0
18056,3,4,3
18057,3,2,5
18058,4,2,6
18059,1,1,5
18060,1,1,8
18061,-1,0,6
18062,3,0,9
18063,1,0,7
18064,-2,0,8
18065,-2,-2,5
18066,2,-2,3
18067,-3,-2,2
18068,-4,-3,4
18069,-3,-4,0
18070,-3,-4,0
18071,-6,-4,0
18072,-4,-5,-1
18073,-4,-5,-2
18074,-5,-5,-3
18075,-4,-5,-5
18076,-5,-4,-3
18077,-6,-4,-4
18078,-7,-5,-3
18079,-5,-5,-6
18080,-6,-4,-6
18081,-1,-3,-6
18082,0,-2,-7
18083,1,-1,-8
18084,3,0,-5
18085,0,0,-6
18086,5,1,-4
18087,2,2,-2
18088,3,2,-1
18089,0,2,-1
18090,0,2,-2
18091,2,2,0
18092,6,3,-4
18093,2,3,-5
18094,3,3,-3
18095,2,3,-2
18096,4,4,-4
18097,9,5,-6
18098,10,7,-4
18099,4,8,-4
18100,10,8,-4
