index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
1102,-1,5,162,-13,-1
1103,0,4,176,-10,0
1104,2,3,189,-6,2
1105,4,3,189,-2,-4
1106,9,4,134,0,-4
1107,8,6,118,2,-5
1108,9,7,67,3,-5
1109,10,7,50,2,-3
1110,9,6,0,0,0
1111,9,6,-27,0,-3
1112,13,6,-45,0,-3
1113,15,8,-82,0,-3
1114,15,8,-67,0,-6
1115,17,10,-73,-1,-6
1116,16,10,-68,0,-8
1117,19,11,-83,0,-7
1118,18,11,-112,0,-9
1119,21,13,-140,1,-5
1120,20,14,-151,2,-10
1121,19,15,-183,3,-7
1122,22,15,-198,3,-12
1123,24,17,-243,3,-13
1124,22,18,-222,2,-12
1125,21,18,-227,0,-11
1126,20,18,-234,-1,-5
1127,21,19,-221,-2,-10
1128,21,19,-192,-4,-6
1129,23,21,-148,-4,-6
1130,23,22,-116,-8,-6
1131,21,21,-84,-12,-6
1132,19,21,-32,-16,0
1133,18,20,-56,-19,0
1134,18,19,-19,-20,0
1135,13,18,-2,-21,0
1136,19,18,-2,-21,0
1137,18,18,15,-20,0
1138,20,18,18,-18,-4
1139,16,18,8,-17,-7
1140,11,16,-8,-16,-2
1141,10,13,5,-16,0
1142,9,12,-16,-14,0
1143,11,11,-49,-13,-4
1144,14,11,-17,-13,-3
1145,18,13,-52,-14,-6
1146,17,14,-78,-14,-6
1147,16,14,-78,-13,-5
1148,15,14,-100,-12,-5
1149,16,14,-116,-12,-5
1150,15,13,-120,-12,-5
1151,15,14,-146,-14,-5
1152,16,14,-156,-16,-1
1153,21,15,-171,-19,-3
1154,18,17,-149,-23,0
1155,17,17,-139,-28,2
1156,13,17,-92,-32,1
1157,13,17,-16,-32,2
1158,8,16,-13,-31,1
1159,9,15,41,-29,1
1160,7,14,62,-30,3
1161,5,13,61,-29,2
1162,8,12,48,-29,4
1163,6,11,68,-28,3
1164,0,9,57,-27,2
1165,3,8,73,-26,4
1166,1,7,89,-26,4
1167,1,6,78,-26,0
1168,6,6,98,-27,5
1169,3,7,106,-26,4
1170,2,6,111,-23,0
1171,4,6,135,-19,0
1172,3,6,118,-15,-4
1173,2,5,105,-12,0
1174,6,5,93,-11,-3
1175,8,6,78,-11,-4
1176,7,6,61,-12,0
1177,7,6,75,-12,-3
1178,11,7,59,-11,0
1179,14,8,61,-11,-3
1180,12,9,37,-10,-4
1181,17,9,61,-8,-4
1182,16,11,44,-7,-4
1183,21,12,62,-7,-7
1184,20,14,-4,-7,-5
1185,24,16,-20,-8,-8
1186,23,18,-66,-11,-8
1187,12,17,-52,-12,-2
1188,12,15,-48,-13,0
1189,11,14,-16,-16,-3
1190,9,12,10,-15,0
1191,5,11,28,-14,-3
1192,7,10,26,-14,0
1193,5,8,13,-13,-3
1194,7,7,10,-13,0
1195,7,7,25,-12,-2
1196,8,7,12,-11,0
1197,10,7,36,-10,0
1198,13,8,31,-9,-5
1199,8,8,32,-8,-5
1200,11,8,35,-7,-5
1201,14,8,32,-5,-8
1202,16,9,-16,-3,-5
1203,18,11,-17,-3,-8
1204,21,13,-58,-4,-8
1205,19,13,-66,-7,-7
1206,18,13,-107,-9,-7
1207,20,13,-144,-10,-6
1208,20,14,-161,-12,-8
1209,24,15,-134,-12,-7
1210,27,18,-137,-12,-9
1211,25,18,-129,-11,-11
1212,29,20,-167,-12,-7
1213,26,21,-142,-12,-12
1214,25,21,-156,-13,-8
1215,24,21,-191,-14,-7
1216,27,22,-197,-17,-9
1217,26,24,-142,-21,-8
1218,27,25,-145,-25,-4
1219,27,26,-109,-29,-7
1220,23,25,-118,-33,0
1221,19,23,-106,-34,0
1222,17,20,-97,-34,0
1223,14,18,-94,-34,1
1224,17,17,-79,-34,1
1225,16,17,-73,-33,1
1226,16,17,-31,-30,0
1227,17,17,-25,-29,0
1228,14,17,24,-28,-1
1229,15,16,41,-26,-4
1230,11,17,39,-22,-6
1231,20,17,8,-21,-3
1232,19,17,33,-20,-7
1233,19,17,-15,-20,-4
1234,19,18,-35,-21,-7
1235,18,18,-52,-21,-6
1236,18,18,-72,-20,-6
1237,17,18,-107,-20,-2
1238,17,18,-147,-21,-2
1239,18,18,-169,-23,-2
1240,24,18,-194,-27,-5
1241,18,19,-191,-31,1
1242,22,19,-169,-34,0
1243,17,20,-149,-36,3
1244,12,19,-143,-38,2
1245,11,17,-100,-39,3
1246,8,15,-30,-41,6
1247,9,13,-9,-41,5
1248,11,13,39,-41,5
1249,6,12,71,-42,5
1250,3,11,97,-42,8
1251,5,9,116,-40,7
1252,0,8,130,-36,6
1253,0,6,132,-33,2
1254,-5,4,135,-29,2
1255,0,2,165,-26,2
1256,0,2,167,-22,1
1257,0,1,154,-18,3
1258,2,1,171,-15,-2
1259,3,1,123,-14,0
1260,9,2,121,-13,-1
1261,7,4,90,-11,1
1262,7,4,39,-9,-2
1263,5,4,-31,-8,-2
1264,4,2,-31,-8,-3
1265,5,2,-36,-6,0
1266,7,2,-65,-4,0
1267,3,1,-47,-2,-3
1268,2,1,-85,-2,0
1269,5,1,-98,-2,-3
1270,10,2,-104,-4,-3
1271,9,4,-101,-5,-5
1272,9,4,-97,-5,-4
1273,5,5,-71,-5,-3
1274,5,5,-105,-5,0
1275,8,5,-102,-6,0
1276,6,5,-102,-7,0
1277,7,5,-117,-9,0
1278,5,5,-102,-9,0
1279,4,5,-95,-9,0
