index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
1977,0,-1,-20,-1,3
1978,3,0,31,-2,6
1979,0,0,77,0,6
1980,-5,-1,78,2,3
1981,-3,-3,54,3,2
1982,-4,-4,21,3,3
1983,-3,-4,-29,3,3
1984,-7,-4,-60,4,6
1985,-7,-6,-59,6,6
1986,-9,-7,-12,8,2
1987,-7,-8,6,10,3
1988,-7,-8,-1,11,6
1989,-9,-9,-33,12,6
1990,-11,-10,-75,12,6
1991,-14,-12,-70,14,2
1992,-11,-13,-29,14,3
1993,-10,-12,26,16,1
1994,-10,-12,67,18,2
1995,-12,-12,84,20,0
1996,-12,-12,94,20,0
1997,-12,-12,107,18,3
1998,-10,-12,114,15,8
1999,-11,-11,103,13,4
2000,-8,-10,71,10,9
2001,-11,-10,46,9,8
2002,-11,-10,38,7,10
2003,-9,-10,29,5,9
2004,-4,-8,65,4,6
2005,-5,-7,65,6,4
2006,-7,-7,60,8,4
2007,-4,-7,50,8,4
2008,0,-5,-41,8,4
2009,-4,-4,-22,8,3
2010,0,-4,14,6,1
2011,-2,-3,72,5,5
2012,-1,-3,127,5,8
2013,-2,-2,137,3,6
2014,-6,-2,111,2,6
2015,-10,-4,76,2,9
2016,-12,-6,75,3,10
2017,-11,-8,79,2,7
2018,-9,-9,134,1,9
2019,-13,-9,162,0,9
2020,-10,-8,167,1,12
2021,-9,-7,134,3,8
2022,-8,-6,113,3,10
2023,-12,-7,103,2,8
2024,-12,-8,114,4,10
2025,-12,-9,58,5,9
2026,-12,-9,46,5,8
2027,-9,-8,104,8,4
2028,-9,-8,151,8,6
2029,-16,-9,180,8,6
2030,-11,-9,171,8,6
2031,-14,-9,143,8,8
2032,-14,-10,163,8,7
2033,-13,-10,134,9,7
2034,-12,-9,145,7,7
2035,-11,-9,112,7,9
2036,-9,-8,105,6,11
2037,-10,-8,114,4,10
2038,-12,-8,111,2,12
2039,-12,-8,86,0,11
2040,-10,-8,77,1,11
2041,-11,-8,54,2,7
2042,-9,-8,31,3,5
2043,-4,-7,-24,4,6
2044,-3,-4,-19,3,4
2045,-2,-3,-1,4,4
2046,-3,-2,64,3,5
2047,-4,-2,121,1,6
2048,-6,-2,102,0,7
2049,-8,-3,68,0,8
