index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
6846,-302,-303,117,4,82
6847,-303,-303,46,7,82
6848,-305,-303,-92,7,81
6849,-305,-303,10,6,84
6850,-304,-303,114,4,83
6851,-305,-304,-9,8,79
6852,-300,-303,-57,11,79
6853,-301,-302,11,6,77
6854,-300,-301,18,3,84
6855,-303,-302,80,3,80
6856,-305,-303,-44,5,78
6857,-307,-304,-85,7,80
6858,-305,-304,39,5,80
6859,-304,-304,93,5,81
6860,-304,-305,24,4,80
6861,-307,-305,-74,4,84
6862,-303,-304,0,6,80
6863,-306,-304,49,5,80
6864,-303,-304,27,6,83
6865,-303,-304,-13,6,80
6866,-307,-305,28,4,84
6867,-306,-305,20,7,81
6868,-301,-305,0,9,78
6869,-303,-304,-41,8,82
6870,-305,-304,-3,7,84
6871,-307,-304,46,4,80
6872,-301,-304,26,6,84
6873,-301,-303,-73,8,81
6874,-301,-301,-29,6,77
6875,-300,-301,85,4,83
6876,-300,-300,91,4,82
6877,-297,-299,-57,6,81
6878,-296,-298,-87,4,80
6879,-299,-298,39,3,82
6880,-299,-299,112,4,82
6881,-299,-299,6,5,78
6882,-294,-298,-81,6,78
6883,-293,-296,-63,3,78
6884,-297,-296,96,0,84
6885,-299,-297,44,0,83
6886,-299,-298,-76,2,77
6887,-300,-298,-106,2,81
6888,-299,-299,26,0,82
6889,-298,-299,150,1,79
6890,-298,-299,35,6,79
6891,-297,-298,-124,7,78
6892,-297,-298,-18,5,79
6893,-297,-298,61,2,79
6894,-298,-298,53,1,79
6895,-297,-298,-57,6,80
6896,-298,-298,-19,6,76
6897,-299,-298,22,3,82
6898,-295,-297,78,2,78
6899,-298,-297,-42,2,78
6900,-297,-297,-67,3,78
6901,-300,-298,-3,2,81
6902,-300,-299,67,1,81
6903,-300,-300,22,2,80
6904,-302,-300,-35,2,83
6905,-305,-302,-6,2,82
6906,-307,-303,65,2,84
6907,-301,-303,11,4,83
6908,-301,-303,1,6,80
6909,-304,-303,-11,3,82
6910,-306,-303,80,1,84
6911,-304,-304,63,3,83
6912,-303,-304,-87,5,78
6913,-300,-302,-91,6,76
6914,-300,-301,60,3,76
6915,-299,-301,135,2,83
6916,-297,-299,27,5,79
6917,-299,-298,-82,5,78
6918,-301,-299,-49,2,76
6919,-298,-299,95,0,80
6920,-294,-298,34,0,81
6921,-295,-297,-67,1,76
6922,-295,-295,-47,-2,77
6923,-298,-296,6,-3,77
6924,-298,-297,100,-2,81
6925,-301,-298,-27,0,81
6926,-301,-299,-133,2,80
6927,-302,-299,4,0,81
6928,-296,-299,59,-1,78
6929,-300,-299,51,0,81
6930,-303,-300,-45,1,78
6931,-302,-301,-47,1,81
6932,-306,-301,34,0,78
6933,-303,-302,33,2,81
6934,-305,-303,0,6,78
6935,-304,-304,1,5,81
6936,-306,-304,11,5,78
6937,-301,-304,71,3,81
6938,-300,-303,-18,3,78
6939,-302,-302,-46,4,79
6940,-300,-302,42,3,82
6941,-301,-302,60,3,80
6942,-300,-301,7,4,77
6943,-298,-300,-98,4,78
6944,-301,-300,-35,2,81
6945,-303,-301,61,0,80
6946,-304,-302,92,0,82
6947,-304,-303,-43,4,76
6948,-304,-303,-86,2,83
6949,-304,-304,11,1,82
6950,-305,-304,130,2,84
6951,-305,-304,16,5,78
6952,-303,-304,-79,9,78
6953,-305,-304,-57,6,75
6954,-302,-303,80,1,79
6955,-304,-304,98,4,77
6956,-304,-304,-33,7,75
6957,-305,-304,-128,8,76
6958,-307,-305,21,5,80
6959,-301,-305,129,2,85
6960,-303,-304,28,5,82
6961,-302,-303,-84,7,78
6962,-301,-302,-58,4,75
6963,-303,-301,80,1,79
6964,-301,-301,77,0,78
6965,-302,-302,-37,3,76
6966,-305,-302,-60,4,78
6967,-304,-302,17,4,81
6968,-301,-302,68,6,78
6969,-303,-302,5,6,80
6970,-302,-303,-39,6,77
6971,-305,-303,3,3,83
6972,-304,-303,60,0,80
6973,-300,-303,-3,1,78
6974,-301,-302,-48,0,82
6975,-300,-302,-3,0,78
6976,-304,-302,31,0,82
6977,-302,-301,48,0,78
6978,-301,-302,-2,1,82
6979,-304,-302,-66,0,78
6980,-307,-303,35,0,82
6981,-306,-305,50,2,79
6982,-302,-304,-19,4,77
6983,-297,-302,-11,6,77
6984,-297,-300,62,4,80
6985,-301,-300,59,2,79
6986,-302,-300,-10,3,79
6987,-302,-301,-127,2,77
6988,-300,-301,-27,-1,83
6989,-299,-301,62,-2,81
6990,-299,-300,105,0,81
6991,-299,-300,-35,4,75
6992,-303,-300,-103,5,76
6993,-301,-301,15,4,79
6994,-301,-301,83,4,81
6995,-299,-300,76,4,77
6996,-296,-299,-18,5,74
6997,-298,-298,-33,3,76
6998,-298,-297,55,1,81
6999,-298,-298,79,2,80
7000,-301,-299,-20,5,79
7001,-300,-299,-70,8,75
7002,-299,-299,6,5,81
7003,-298,-299,109,0,80
7004,-295,-298,40,2,77
7005,-297,-298,-48,1,80
7006,-300,-298,-79,0,80
7007,-302,-299,36,0,82
7008,-301,-299,86,0,81
7009,-298,-300,-10,4,77
7010,-302,-300,-47,7,77
7011,-298,-299,19,3,79
7012,-299,-299,33,1,81
7013,-300,-300,7,0,78
7014,-297,-299,-49,0,81
7015,-298,-299,-48,0,78
7016,-303,-299,21,1,78
7017,-300,-300,64,3,80
7018,-302,-301,5,4,79
7019,-303,-301,-19,2,76
7020,-301,-301,-22,3,79
7021,-305,-301,44,1,79
7022,-300,-301,17,1,81
7023,-299,-301,-14,3,75
7024,-302,-301,13,2,78
7025,-304,-301,1,1,80
7026,-307,-303,45,0,80
7027,-305,-304,-65,1,77
7028,-304,-305,-53,2,81
7029,-308,-306,62,0,80
7030,-305,-306,50,0,79
7031,-304,-305,-17,2,82
7032,-302,-304,-70,2,79
7033,-300,-303,-19,2,79
7034,-305,-302,71,0,81
7035,-299,-301,58,2,77
7036,-301,-301,-5,6,77
7037,-304,-302,-43,5,75
7038,-303,-302,43,4,78
7039,-301,-302,62,3,81
7040,-302,-302,-35,3,78
7041,-303,-302,-101,4,78
7042,-300,-302,-14,2,81
7043,-300,-301,116,1,81
7044,-298,-301,60,6,74
7045,-303,-300,-88,9,71
7046,-300,-301,-69,7,72
7047,-301,-300,91,3,76
7048,-302,-301,78,2,77
7049,-301,-301,-70,4,75
7050,-307,-303,-76,2,82
7051,-306,-304,9,0,84
7052,-305,-305,97,1,78
7053,-306,-305,33,6,76
7054,-307,-306,-77,10,74
7055,-309,-307,-6,6,81
7056,-309,-308,17,4,84
7057,-307,-307,61,3,83
7058,-305,-307,-28,2,80
7059,-305,-306,-83,3,80
7060,-303,-305,43,3,80
