index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
5561,-287,-287,-42,-17,76
5562,-288,-288,94,-19,76
5563,-289,-289,1,-17,76
5564,-287,-289,-151,-17,76
5565,-287,-288,14,-22,79
5566,-286,-288,101,-22,79
5567,-288,-288,-25,-17,73
5568,-288,-288,-108,-15,74
5569,-289,-288,-57,-19,77
5570,-287,-287,85,-21,77
5571,-284,-287,-17,-17,74
5572,-283,-287,-88,-14,74
5573,-285,-285,-29,-17,72
5574,-284,-285,49,-17,79
5575,-284,-286,47,-13,77
5576,-288,-286,-105,-12,76
5577,-290,-287,-76,-15,73
5578,-286,-288,58,-17,77
5579,-284,-288,3,-16,76
5580,-291,-288,-107,-14,76
5581,-295,-290,-43,-16,79
5582,-292,-291,62,-21,79
5583,-288,-291,25,-20,78
5584,-293,-292,-74,-16,77
5585,-296,-293,10,-14,77
5586,-293,-294,87,-14,77
5587,-290,-294,-15,-9,74
5588,-294,-294,-35,-9,77
5589,-295,-294,29,-12,79
5590,-290,-293,41,-14,76
5591,-289,-292,-74,-15,80
5592,-291,-292,-75,-18,77
5593,-292,-291,53,-19,77
5594,-292,-292,47,-15,78
5595,-293,-293,-58,-12,77
5596,-295,-293,-97,-13,77
5597,-293,-293,51,-14,77
5598,-291,-293,67,-14,81
5599,-292,-292,-49,-11,77
5600,-293,-292,-77,-10,74
5601,-292,-293,23,-11,80
5602,-288,-292,112,-12,76
5603,-286,-290,-58,-9,76
5604,-288,-289,-142,-10,75
5605,-291,-289,42,-17,81
5606,-289,-290,121,-17,77
5607,-296,-292,-76,-12,76
5608,-297,-293,-125,-13,77
5609,-294,-294,33,-16,78
5610,-292,-294,79,-14,79
5611,-291,-294,-25,-11,79
5612,-295,-293,-83,-12,78
5613,-293,-293,-18,-13,80
5614,-288,-293,58,-15,80
5615,-290,-292,2,-15,80
5616,-293,-292,-66,-13,76
5617,-294,-293,-32,-12,76
5618,-292,-293,57,-11,77
5619,-291,-293,-15,-8,77
5620,-293,-293,-81,-9,75
5621,-295,-293,-19,-12,78
5622,-293,-293,34,-14,79
5623,-287,-292,-50,-15,82
5624,-291,-291,-51,-15,76
5625,-291,-291,31,-16,80
5626,-286,-290,0,-13,76
5627,-288,-290,-52,-9,75
5628,-293,-290,15,-12,75
5629,-290,-290,34,-14,79
5630,-287,-290,-68,-13,81
5631,-292,-290,-26,-14,78
5632,-290,-290,-10,-16,81
5633,-289,-290,50,-15,81
5634,-290,-290,-18,-13,77
5635,-290,-290,-101,-11,77
5636,-289,-290,-51,-14,77
5637,-289,-289,98,-18,77
5638,-287,-289,-30,-16,75
5639,-288,-288,-147,-15,76
5640,-289,-289,-4,-16,76
5641,-287,-289,115,-15,77
5642,-283,-288,-15,-14,76
5643,-287,-287,-142,-14,74
5644,-288,-287,-30,-17,81
5645,-282,-286,117,-22,80
5646,-285,-286,7,-16,75
5647,-292,-287,-128,-13,73
5648,-293,-288,-31,-16,79
5649,-286,-289,74,-15,76
5650,-290,-290,3,-12,77
5651,-298,-291,-125,-12,80
5652,-299,-293,-61,-14,82
5653,-296,-295,95,-15,85
5654,-296,-296,17,-13,83
5655,-297,-296,-127,-9,78
5656,-299,-297,15,-10,81
5657,-299,-297,105,-13,81
5658,-291,-296,-23,-11,80
5659,-291,-295,-112,-12,80
5660,-297,-294,36,-13,82
5661,-294,-295,58,-12,80
5662,-291,-295,-49,-11,77
5663,-295,-294,-41,-12,80
5664,-292,-293,28,-14,77
5665,-288,-293,-11,-14,80
5666,-293,-293,-32,-13,80
5667,-294,-293,-45,-14,77
5668,-291,-294,32,-19,81
5669,-292,-294,0,-16,84
5670,-295,-294,-72,-13,80
5671,-292,-293,-38,-13,81
5672,-290,-293,86,-13,78
5673,-289,-292,0,-11,77
5674,-288,-290,-139,-11,77
5675,-289,-290,-26,-14,80
5676,-289,-291,98,-17,80
5677,-290,-290,-45,-14,80
5678,-290,-290,-142,-12,80
5679,-293,-292,-13,-13,79
5680,-294,-293,151,-13,80
5681,-290,-293,-36,-9,79
5682,-297,-294,-114,-10,79
5683,-299,-295,-11,-14,80
5684,-293,-295,88,-14,81
5685,-294,-296,-17,-10,80
5686,-298,-295,-106,-9,80
5687,-297,-296,0,-10,77
5688,-291,-297,108,-11,83
5689,-294,-295,-43,-11,79
5690,-296,-295,-118,-12,80
5691,-291,-294,6,-16,83
5692,-293,-294,48,-14,80
5693,-293,-294,-30,-12,80
5694,-294,-294,-80,-12,80
5695,-293,-294,7,-11,80
5696,-289,-292,65,-12,82
5697,-285,-290,-85,-12,78
5698,-289,-290,-27,-17,82
5699,-291,-289,57,-21,82
5700,-288,-290,-75,-18,80
5701,-287,-289,-80,-16,80
5702,-291,-289,32,-14,76
5703,-288,-289,42,-12,80
5704,-286,-289,-72,-11,79
5705,-295,-291,-88,-12,81
5706,-293,-291,29,-15,81
5707,-290,-292,56,-13,82
5708,-289,-292,-71,-10,82
5709,-291,-291,-81,-11,81
5710,-290,-292,63,-13,83
5711,-291,-292,45,-11,79
5712,-292,-292,-72,-7,79
5713,-291,-291,-90,-10,82
5714,-291,-292,74,-13,84
5715,-290,-291,113,-13,80
5716,-287,-291,-116,-8,79
5717,-289,-290,-87,-11,81
5718,-290,-289,91,-15,83
5719,-284,-288,6,-16,79
5720,-289,-288,-110,-14,77
5721,-294,-289,-30,-15,78
5722,-286,-289,72,-17,84
5723,-284,-288,-39,-14,77
5724,-289,-288,-89,-10,77
5725,-290,-288,-3,-9,78
5726,-288,-289,62,-10,78
5727,-288,-290,-52,-11,78
5728,-288,-289,-68,-13,82
5729,-289,-289,66,-15,78
5730,-286,-289,24,-15,82
5731,-287,-288,-49,-13,79
5732,-290,-289,-35,-13,77
5733,-289,-289,35,-12,80
5734,-290,-289,-25,-7,77
5735,-288,-289,-60,-7,74
5736,-288,-289,5,-11,81
5737,-288,-289,28,-12,80
5738,-286,-288,-64,-11,80
5739,-285,-287,-97,-11,77
5740,-288,-287,14,-15,82
5741,-287,-287,65,-13,82
5742,-283,-287,-55,-12,81
5743,-287,-287,-145,-14,77
5744,-285,-286,42,-17,78
5745,-279,-286,111,-17,82
5746,-285,-285,-78,-11,75
5747,-290,-285,-137,-10,78
5748,-283,-286,36,-15,81
5749,-284,-286,88,-16,78
5750,-282,-285,-90,-16,76
5751,-281,-284,-116,-16,80
5752,-285,-284,16,-17,82
5753,-282,-284,58,-15,75
5754,-281,-283,-116,-11,73
5755,-287,-284,-29,-11,74
5756,-285,-284,21,-13,81
5757,-282,-284,8,-11,80
5758,-283,-284,-60,-12,79
5759,-284,-284,-19,-14,76
5760,-283,-284,-1,-16,79
5761,-283,-284,20,-16,79
5762,-290,-286,-61,-15,82
5763,-289,-287,-16,-18,84
5764,-284,-287,29,-18,80
5765,-287,-287,-52,-16,77
5766,-292,-288,-63,-16,80
5767,-289,-288,50,-14,77
5768,-290,-289,37,-12,78
5769,-292,-290,-69,-12,81
5770,-291,-290,-96,-14,78
5771,-288,-291,80,-18,81
5772,-292,-291,40,-14,78
5773,-290,-291,-117,-13,76
5774,-288,-290,-35,-16,80
5775,-292,-290,75,-17,80
5776,-286,-290,-15,-17,80
5777,-285,-289,-87,-14,80
5778,-292,-289,-48,-16,79
5779,-287,-289,111,-19,80
5780,-286,-289,-13,-15,77
5781,-292,-289,-149,-14,77
5782,-290,-289,-30,-17,81
5783,-288,-290,104,-15,78
5784,-295,-291,-23,-14,79
5785,-300,-293,-87,-13,82
5786,-293,-294,-18,-14,79
5787,-290,-294,67,-14,82
5788,-291,-293,-31,-13,79
5789,-294,-292,-111,-13,80
5790,-293,-293,18,-14,80
5791,-291,-293,73,-15,79
5792,-294,-294,-40,-11,77
5793,-292,-293,-4,-11,78
5794,-293,-293,38,-10,79
5795,-291,-293,-31,-11,82
5796,-288,-292,-32,-12,79
5797,-294,-292,25,-13,82
5798,-292,-291,20,-10,79
5799,-288,-291,-40,-10,76
5800,-291,-291,-95,-11,77
5801,-294,-291,22,-14,84
5802,-288,-291,48,-14,84
5803,-289,-292,-102,-14,80
5804,-293,-291,-51,-14,78
5805,-290,-291,66,-15,84
5806,-292,-292,16,-12,78
5807,-293,-292,-101,-9,76
5808,-289,-291,-51,-10,77
5809,-285,-290,132,-12,80
5810,-288,-289,19,-10,77
5811,-290,-289,-151,-8,77
5812,-293,-290,-34,-13,84
5813,-291,-291,148,-16,83
5814,-293,-291,-43,-10,77
5815,-295,-292,-88,-9,78
5816,-294,-292,25,-12,81
5817,-289,-292,69,-10,82
5818,-287,-291,9,-8,75
5819,-294,-291,-63,-9,82
5820,-292,-291,-41,-11,84
5821,-290,-291,85,-11,83
