index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
4611,3,0,-98,8,0
4612,-1,0,-33,7,3
4613,0,-1,12,6,2
4614,2,-1,-19,6,1
4615,2,0,-62,7,4
4616,-1,-1,-59,7,1
4617,0,0,-1,6,3
4618,0,0,19,5,0
4619,-3,-2,-16,5,3
4620,-4,-3,-83,4,1
4621,0,-3,-132,3,2
4622,2,-2,-81,4,1
4623,3,0,-52,6,-1
4624,3,0,-62,5,0
4625,2,0,-84,5,0
4626,2,0,-29,6,-1
4627,0,0,9,8,-1
4628,-1,-1,6,10,-1
4629,0,-1,34,9,1
4630,-1,-1,51,8,-1
4631,-3,-2,103,8,0
4632,-4,-2,134,7,0
4633,-3,-3,128,5,2
4634,-3,-2,133,5,1
4635,-3,-2,120,4,6
4636,-6,-3,125,3,5
4637,-8,-4,141,4,4
4638,-2,-3,107,2,4
4639,-6,-3,83,1,6
4640,-8,-4,68,0,5
4641,-4,-3,53,1,7
4642,-3,-3,69,1,6
4643,-8,-4,82,3,5
4644,-7,-4,67,5,2
4645,-7,-4,81,7,2
4646,-5,-4,28,8,1
4647,-5,-4,49,9,1
4648,-9,-5,68,7,3
4649,-9,-5,79,5,2
4650,-8,-5,71,1,9
4651,-3,-4,51,-1,8
4652,-5,-4,46,-4,10
4653,-4,-3,34,-4,3
4654,-3,-2,48,-3,3
4655,-6,-2,30,-2,6
4656,-7,-3,-44,-1,3
4657,-4,-3,-42,-2,4
4658,-4,-3,-47,0,7
4659,-5,-3,-99,0,6
4660,0,-2,-123,0,5
4661,0,-2,-143,0,6
4662,0,-1,-119,0,1
4663,-2,-1,-107,2,0
4664,-2,-2,-122,3,1
4665,1,-2,-109,4,1
4666,1,-1,-60,4,2
4667,0,-1,-43,5,0
4668,-1,-2,-27,6,3
4669,6,0,-31,3,2
4670,5,0,-81,1,0
4671,2,0,-62,0,3
4672,2,0,-68,-1,3
4673,9,1,-21,-3,4
4674,4,2,-57,-2,4
4675,-2,1,-76,0,0
4676,1,0,-55,1,1
4677,8,1,-73,1,0
4678,6,2,-43,3,0
4679,-1,1,-54,4,-1
4680,-2,0,-43,5,0
4681,1,0,-29,6,-1
4682,0,0,-17,9,0
4683,-3,-2,0,12,-3
4684,-1,-2,-6,11,2
4685,-2,-3,42,11,2
4686,-3,-3,61,10,5
4687,-2,-3,40,7,1
4688,-2,-3,27,2,4
4689,-3,-3,56,0,4
4690,-2,-3,75,0,5
4691,-3,-3,99,0,5
4692,-3,-3,63,0,4
4693,-3,-3,52,0,4
4694,-3,-2,44,2,1
4695,-1,-2,62,2,4
4696,-7,-2,82,2,1
4697,-6,-3,78,2,4
4698,-1,-3,80,3,4
4699,-3,-2,55,5,1
4700,-11,-4,80,7,3
4701,-10,-6,56,6,-28
4702,-8,-7,92,1,-60
4703,-8,-7,120,-15,-86
4704,-7,-7,89,-39,-64
4705,-9,-8,71,-65,-53
4706,-8,-8,26,-87,-46
4707,-3,-8,-69,-103,-42
4708,-4,-8,-113,-119,-42
4709,-2,-7,-192,-136,-37
4710,0,-8,-238,-154,-37
4711,0,-8,-302,-173,-38
4712,-1,-9,-390,-198,-32
4713,-2,-10,-416,-230,-20
4714,-6,-12,-430,-269,-11
4715,-9,-16,-472,-314,2
4716,-14,-20,-550,-365,17
4717,-20,-24,-649,-420,41
4718,-21,-27,-749,-479,58
4719,-31,-34,-782,-541,77
4720,-39,-42,-842,-600,98
4721,-49,-51,-944,-654,109
4722,-54,-60,-976,-702,126
4723,-66,-70,-1029,-741,136
4724,-72,-80,-1036,-770,138
4725,-84,-90,-1024,-784,144
4726,-99,-102,-924,-781,143
4727,-115,-114,-820,-762,135
4728,-127,-127,-647,-729,129
4729,-138,-139,-581,-680,110
4730,-152,-151,-472,-619,95
4731,-166,-163,-357,-549,79
4732,-178,-174,-142,-470,62
4733,-188,-184,-99,-383,40
4734,-196,-192,-70,-296,21
4735,-199,-197,-43,-216,11
4736,-202,-202,96,-148,-1
4737,-206,-204,156,-93,-1
4738,-200,-203,120,-53,-3
4739,-197,-202,12,-28,-2
4740,-198,-202,-41,-19,6
4741,-195,-201,-34,-22,16
4742,-198,-199,-109,-35,24
4743,-196,-198,-62,-54,34
4744,-195,-198,-97,-75,43
4745,-197,-199,-156,-98,48
4746,-199,-201,-181,-124,58
4747,-207,-205,-265,-150,69
4748,-209,-208,-298,-176,74
4749,-214,-213,-327,-197,83
4750,-218,-217,-357,-216,87
4751,-220,-221,-295,-232,87
4752,-221,-224,-303,-242,90
4753,-226,-227,-223,-250,89
4754,-228,-230,-269,-249,86
4755,-232,-235,-254,-243,86
4756,-236,-239,-207,-233,85
4757,-238,-241,-162,-219,79
4758,-238,-243,-102,-200,71
4759,-246,-246,-115,-176,63
4760,-252,-250,-148,-152,61
4761,-251,-252,-50,-132,61
4762,-251,-252,3,-113,57
4763,-253,-254,-32,-95,53
4764,-253,-254,-77,-82,52
4765,-251,-255,-63,-72,54
4766,-258,-256,-54,-67,57
4767,-261,-258,-50,-67,62
4768,-261,-260,-24,-65,61
4769,-264,-262,-51,-62,61
4770,-264,-263,-100,-60,59
4771,-266,-264,-120,-61,66
4772,-266,-266,-57,-65,68
4773,-271,-268,-30,-71,71
4774,-269,-270,-94,-74,74
4775,-271,-272,-33,-73,69
4776,-274,-274,-135,-76,74
4777,-274,-275,-99,-77,71
4778,-280,-277,-65,-77,75
4779,-276,-278,-37,-78,75
4780,-279,-279,-78,-75,73
4781,-279,-279,-168,-69,68
4782,-279,-280,-42,-69,70
4783,-282,-281,-67,-66,73
4784,-282,-282,-42,-62,70
4785,-280,-283,-36,-55,71
4786,-281,-284,-61,-51,67
4787,-282,-283,-30,-48,71
4788,-281,-282,17,-43,65
4789,-285,-283,-49,-39,68
4790,-286,-285,-48,-35,65
4791,-288,-286,-70,-33,66
4792,-289,-288,-33,-35,70
4793,-290,-289,4,-39,76
4794,-292,-290,-49,-38,73
4795,-290,-291,-78,-40,77
4796,-291,-291,-98,-44,79
4797,-293,-292,-88,-47,77
4798,-295,-294,21,-49,78
4799,-296,-295,4,-46,76
4800,-300,-297,-67,-39,75
4801,-295,-297,-88,-37,76
4802,-297,-298,10,-34,78
4803,-297,-297,43,-30,71
4804,-297,-298,-10,-25,75
4805,-302,-299,-53,-22,71
4806,-302,-300,-120,-20,75
4807,-300,-300,21,-22,78
4808,-299,-301,89,-23,78
4809,-304,-302,-33,-20,78
4810,-306,-304,-69,-20,77
4811,-306,-305,-21,-21,80
4812,-309,-306,-10,-22,77
4813,-302,-306,34,-24,84
4814,-304,-306,-49,-21,78
4815,-303,-305,-99,-18,78
4816,-304,-305,1,-19,76
4817,-310,-306,-1,-19,82
4818,-312,-308,28,-16,79
4819,-311,-310,-61,-16,83
4820,-311,-311,-41,-17,85
4821,-312,-310,26,-17,82
4822,-311,-311,-12,-17,84
4823,-311,-312,-27,-16,81
4824,-314,-312,13,-13,79
4825,-312,-312,26,-11,82
4826,-310,-311,50,-6,77
4827,-310,-311,-13,0,75
4828,-308,-311,-81,3,78
4829,-314,-311,7,1,77
4830,-315,-312,24,-2,81
4831,-312,-313,12,-1,85
4832,-315,-314,-29,-2,82
4833,-312,-314,-51,-2,82
4834,-312,-313,56,-2,83
4835,-312,-313,38,0,79
4836,-315,-313,-45,3,82
4837,-314,-314,-67,5,82
4838,-311,-313,52,2,84
4839,-312,-313,113,1,83
4840,-316,-313,-32,3,83
4841,-312,-313,-113,3,83
4842,-311,-312,15,2,83
4843,-312,-311,85,1,80
4844,-309,-311,70,4,80
4845,-312,-311,-36,8,80
4846,-315,-312,-101,6,84
4847,-314,-313,45,2,86
4848,-314,-313,109,3,85
4849,-311,-313,-57,6,82
4850,-313,-312,-100,7,82
4851,-311,-312,23,4,82
4852,-310,-312,100,4,82
4853,-314,-312,27,5,85
4854,-312,-312,-90,5,80
4855,-310,-311,-27,4,84
4856,-308,-310,85,0,84
4857,-309,-309,47,1,86
4858,-309,-309,-59,4,82
4859,-311,-309,-2,3,81
4860,-313,-310,27,1,82
4861,-315,-312,88,2,88
4862,-311,-313,-5,3,84
4863,-313,-312,-79,6,83
4864,-312,-311,39,6,83
4865,-311,-311,100,8,85
4866,-311,-312,4,12,83
4867,-310,-311,17,11,80
4868,-311,-310,9,13,78
4869,-311,-310,49,13,80
4870,-306,-309,10,15,80
4871,-309,-309,-43,13,83
4872,-310,-309,-11,10,85
4873,-311,-309,65,10,82
4874,-309,-309,-46,10,85
4875,-304,-308,-39,10,82
4876,-309,-308,49,7,82
4877,-309,-308,37,6,83
4878,-308,-308,-16,8,83
4879,-309,-308,-63,7,83
4880,-307,-308,-60,7,83
4881,-308,-307,86,5,85
4882,-305,-307,58,6,82
4883,-305,-307,-65,7,82
4884,-308,-306,-29,6,80
4885,-306,-306,65,6,83
4886,-307,-306,85,6,83
4887,-305,-306,-38,8,82
4888,-305,-305,-95,7,80
4889,-306,-305,51,4,81
4890,-303,-304,103,4,84
4891,-305,-304,-16,8,80
4892,-309,-306,-73,11,80
4893,-308,-307,-3,9,83
4894,-310,-307,39,8,80
4895,-306,-307,59,11,80
4896,-310,-308,-68,12,83
4897,-311,-308,-66,12,83
4898,-309,-309,66,10,85
4899,-307,-308,96,9,81
4900,-307,-308,-19,13,79
4901,-308,-308,-68,11,82
4902,-306,-307,21,8,82
4903,-304,-306,107,10,80
4904,-308,-306,-6,13,82
4905,-307,-306,-128,15,78
4906,-307,-306,49,12,81
4907,-301,-305,111,11,81
4908,-304,-304,15,12,78
4909,-306,-304,-16,13,81
4910,-304,-304,26,13,78
4911,-304,-304,40,13,78
4912,-300,-303,77,13,76
4913,-300,-302,-46,12,80
4914,-302,-301,-15,11,82
4915,-300,-300,66,10,78
4916,-299,-300,46,10,79
