index,u_y*1000,Us
4335,53,-1000
4336,51,-1000
4337,49,0
4338,52,1000
4339,54,1000
4340,55,0
4341,53,-1000
4342,52,0
4343,55,1000
4344,55,0
4345,53,-1000
4346,52,0
4347,55,1000
4348,55,0
4349,53,-1000
4350,52,0
4351,55,1000
4352,55,0
4353,53,-1000
4354,52,0
4355,55,1000
4356,55,0
4357,53,-1000
4358,53,0
4359,55,1000
4360,56,0
4361,53,-1000
4362,53,0
4363,55,1000
4364,56,0
4365,53,-1000
4366,53,0
4367,55,1000
4368,56,0
4369,53,-1000
4370,51,-1000
4371,50,0
4372,52,1000
4373,55,1000
4374,56,0
4375,53,-1000
4376,51,-1000
4377,50,0
4378,52,1000
4379,54,1000
4380,55,0
4381,53,-1000
4382,53,0
4383,50,-1000
4384,49,0
4385,52,1000
4386,54,1000
4387,55,0
4388,53,-1000
4389,52,0
4390,55,1000
4391,55,0
4392,53,-1000
4393,51,-1000
4394,49,0
4395,52,1000
4396,54,1000
4397,55,0
4398,53,-1000
4399,51,-1000
4400,49,0
4401,52,1000
4402,54,1000
4403,55,0
4404,53,-1000
4405,50,-1000
4406,49,0
4407,52,1000
4408,52,0
4409,50,-1000
4410,49,0
4411,51,1000
4412,52,0
4413,49,-1000
4414,49,0
4415,51,1000
4416,52,0
4417,49,-1000
4418,49,0
4419,51,1000
4420,53,1000
4421,54,0
4422,52,-1000
4423,50,-1000
4424,48,0
4425,51,1000
4426,53,1000
4427,54,0
4428,52,-1000
4429,51,0
4430,54,1000
4431,54,0
4432,52,-1000
4433,51,0
4434,54,1000
4435,55,0
4436,52,-1000
4437,52,0
4438,54,1000
4439,55,0
4440,52,-1000
4441,52,0
4442,54,1000
4443,55,0
4444,52,-1000
4445,52,0
4446,54,1000
4447,55,0
4448,52,-1000
4449,52,0
4450,54,1000
4451,55,0
4452,52,-1000
4453,52,0
4454,54,1000
4455,55,0
4456,52,-1000
4457,50,-1000
4458,49,0
4459,51,1000
4460,52,0
4461,49,-1000
4462,49,0
4463,51,1000
4464,52,0
4465,49,-1000
4466,49,0
4467,51,1000
4468,52,0
4469,49,-1000
4470,49,0
4471,51,1000
4472,52,0
4473,49,-1000
4474,49,0
4475,51,1000
4476,51,0
4477,49,-1000
4478,48,0
4479,51,1000
4480,51,0
4481,49,-1000
4482,48,0
4483,51,1000
4484,51,0
4485,49,-1000
4486,48,0
4487,51,1000
4488,53,1000
4489,54,0
4490,52,-1000
4491,51,0
4492,54,1000
4493,54,0
4494,52,-1000
4495,51,0
4496,54,1000
4497,54,0
4498,52,-1000
4499,51,0
4500,54,1000
4501,54,0
4502,52,-1000
4503,51,0
4504,54,1000
4505,54,0
4506,52,-1000
4507,52,0
4508,54,1000
4509,54,0
4510,52,-1000
4511,50,-1000
4512,48,0
4513,51,1000
4514,51,0
4515,49,-1000
4516,48,0
4517,51,1000
4518,51,0
4519,49,-1000
4520,48,0
4521,51,1000
4522,51,0
4523,54,1000
4524,54,0
4525,52,-1000
4526,49,-1000
4527,48,0
4528,51,1000
4529,51,0
4530,49,-1000
4531,48,0
4532,50,1000
