index,u_y*1000,Us
4533,51,0
4534,48,-1000
4535,48,0
4536,50,1000
4537,51,0
4538,48,-1000
4539,48,0
4540,50,1000
4541,51,0
4542,48,-1000
4543,48,0
4544,50,1000
4545,52,1000
4546,54,0
4547,51,-1000
4548,49,-1000
4549,48,0
4550,50,1000
4551,52,1000
4552,53,0
4553,51,-1000
4554,51,0
4555,53,1000
4556,54,0
4557,51,-1000
4558,51,0
4559,53,1000
4560,54,0
4561,51,-1000
4562,51,0
4563,53,1000
4564,54,0
4565,51,-1000
4566,49,-1000
4567,48,0
4568,50,1000
4569,53,1000
4570,54,0
4571,51,-1000
4572,49,-1000
4573,48,0
4574,50,1000
4575,51,0
4576,48,-1000
4577,48,0
4578,50,1000
4579,50,0
4580,48,-1000
4581,47,0
4582,50,1000
4583,50,0
4584,48,-1000
4585,47,0
4586,50,1000
4587,52,1000
4588,53,0
4589,51,-1000
4590,48,-1000
4591,47,0
4592,49,1000
4593,52,1000
4594,53,0
4595,51,-1000
4596,48,-1000
4597,47,0
4598,49,1000
4599,50,0
4600,48,-1000
4601,47,0
4602,49,1000
4603,52,1000
4604,53,0
4605,50,-1000
4606,48,-1000
4607,47,0
4608,49,1000
4609,52,1000
4610,53,0
4611,50,-1000
4612,48,-1000
4613,47,0
4614,49,1000
4615,50,0
4616,47,-1000
4617,46,0
4618,49,1000
4619,49,0
4620,47,-1000
4621,46,0
4622,49,1000
4623,49,0
4624,47,-1000
4625,46,0
4626,48,1000
4627,51,1000
4628,52,0
4629,49,-1000
4630,47,-1000
4631,46,0
4632,48,1000
4633,51,1000
4634,52,0
4635,49,-1000
4636,47,-1000
4637,46,0
4638,48,1000
4639,51,1000
4640,52,0
4641,49,-1000
4642,49,0
4643,51,1000
4644,52,0
4645,49,-1000
4646,49,0
4647,51,1000
4648,52,0
4649,49,-1000
4650,49,0
4651,46,-1000
4652,46,0
4653,48,1000
4654,48,0
4655,51,1000
4656,51,0
4657,49,-1000
4658,47,-1000
4659,45,0
4660,48,1000
4661,48,0
4662,46,-1000
4663,45,0
4664,48,1000
4665,48,0
4666,46,-1000
4667,45,0
4668,47,1000
4669,48,0
4670,45,-1000
4671,45,0
4672,47,1000
4673,50,1000
4674,51,0
4675,48,-1000
4676,48,0
4677,50,1000
4678,51,0
4679,48,-1000
4680,48,0
4681,50,1000
4682,51,0
4683,49,-1000
4684,48,0
4685,50,1000
4686,51,0
4687,49,-1000
4688,48,0
4689,50,1000
4690,51,0
4691,49,-1000
4692,48,0
4693,51,1000
4694,51,0
4695,49,-1000
4696,48,0
4697,51,1000
4698,51,0
4699,49,-1000
4700,46,-1000
4701,45,0
4702,48,1000
4703,50,1000
4704,51,0
4705,49,-1000
4706,46,-1000
4707,45,0
4708,47,1000
4709,50,1000
4710,51,0
4711,48,-1000
4712,48,0
4713,50,1000
4714,51,0
4715,48,-1000
4716,48,0
4717,50,1000
4718,51,0
4719,49,-1000
4720,48,0
4721,50,1000
4722,51,0
4723,49,-1000
4724,48,0
4725,50,1000
4726,51,0
4727,49,-1000
4728,46,-1000
4729,45,0
4730,47,1000
4731,50,1000
4732,51,0
4733,48,-1000
4734,48,0
4735,45,-1000
4736,45,0
4737,47,1000
4738,50,1000
4739,51,0
4740,48,-1000
4741,48,0
4742,50,1000
4743,51,0
4744,48,-1000
4745,48,0
4746,45,-1000
4747,45,0
4748,47,1000
4749,49,1000
4750,50,0
4751,48,-1000
4752,46,-1000
4753,45,0
4754,47,1000
4755,49,1000
4756,50,0
4757,48,-1000
4758,46,-1000
4759,44,0
4760,47,1000
4761,47,0
4762,45,-1000
4763,44,0
4764,47,1000
4765,47,0
4766,45,-1000
4767,44,0
4768,46,1000
4769,47,0
4770,44,-1000
4771,44,0
4772,46,1000
4773,47,0
4774,44,-1000
4775,44,0
4776,46,1000
4777,46,0
4778,44,-1000
4779,43,0
4780,46,1000
4781,48,1000
4782,49,0
4783,47,-1000
4784,46,0
4785,49,1000
4786,49,0
4787,47,-1000
4788,46,0
4789,49,1000
4790,49,0
4791,47,-1000
4792,46,0
4793,49,1000
4794,49,0
4795,47,-1000
4796,46,0
4797,49,1000
4798,49,0
4799,47,-1000
4800,46,0
4801,49,1000
4802,49,0
4803,47,-1000
4804,47,0
4805,49,1000
4806,50,0
4807,47,-1000
4808,47,0
4809,49,1000
4810,50,0
4811,47,-1000
4812,47,0
4813,49,1000
4814,50,0
4815,47,-1000
4816,47,0
4817,49,1000
4818,50,0
4819,47,-1000
4820,47,0
4821,49,1000
4822,50,0
4823,47,-1000
4824,45,-1000
4825,44,0
4826,46,1000
4827,49,1000
4828,50,0
4829,47,-1000
4830,47,0
4831,49,1000
4832,50,0
4833,47,-1000
4834,47,0
