index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
6145,1,4,119,-12,-1
6146,0,3,114,-11,1
6147,0,2,133,-10,0
6148,0,1,122,-9,0
6149,-1,0,161,-8,0
6150,-8,-1,143,-7,2
6151,-10,-4,158,-5,1
6152,-12,-6,180,-5,7
6153,-7,-8,198,-5,3
6154,-12,-8,199,-5,2
6155,-7,-7,187,-5,2
6156,-10,-6,178,-5,2
6157,-7,-7,170,-5,3
6158,-11,-7,170,-6,2
6159,-11,-8,127,-6,5
6160,-6,-7,138,-6,1
6161,-5,-6,127,-5,1
6162,0,-5,149,-7,1
6163,-1,-3,120,-9,0
6164,0,-1,163,-11,0
6165,-4,-1,161,-10,2
6166,-3,-1,170,-9,1
6167,-2,-1,165,-8,1
6168,-4,-1,146,-10,6
6169,0,-1,128,-11,2
6170,1,0,121,-13,2
6171,3,2,98,-14,2
6172,4,3,57,-15,1
6173,5,4,45,-14,1
6174,4,5,17,-14,1
6175,6,6,-23,-12,-1
6176,5,5,-10,-12,1
6177,5,5,-14,-12,0
6178,6,6,-1,-11,2
6179,6,5,10,-10,1
6180,7,5,14,-10,-1
6181,9,6,33,-10,1
6182,14,8,33,-11,-1
6183,18,10,36,-12,1
6184,17,13,38,-11,-4
6185,18,14,29,-10,0
6186,20,16,4,-11,-4
6187,19,16,-20,-12,-1
6188,18,17,-28,-11,-2
6189,19,17,-63,-11,-2
6190,15,16,-46,-10,-2
6191,15,15,-53,-11,-1
6192,15,14,-56,-12,1
6193,12,13,-80,-12,1
6194,12,12,-106,-12,1
6195,13,11,-85,-11,-1
6196,12,11,-96,-11,-1
6197,15,11,-100,-10,0
6198,15,11,-114,-11,0
6199,19,12,-95,-11,-3
6200,17,13,-81,-10,-3
6201,18,13,-42,-8,-3
6202,16,14,-58,-7,-6
6203,15,14,-14,-5,-2
6204,17,15,-56,-5,-2
6205,16,15,-35,-5,-3
6206,21,17,-41,-6,-3
6207,20,18,-81,-8,-3
6208,20,18,-44,-11,0
6209,17,18,-49,-12,0
6210,17,18,-40,-13,-1
6211,13,17,-84,-15,1
6212,16,17,-30,-17,1
6213,17,16,-67,-16,0
6214,19,16,-62,-17,0
6215,16,17,-71,-16,0
6216,17,17,-59,-17,0
6217,21,18,-45,-15,-1
6218,20,19,-42,-13,-2
6219,20,19,-34,-13,-4
6220,14,18,-28,-15,-3
6221,14,17,-32,-19,2
6222,12,16,-33,-22,1
6223,11,14,-24,-25,1
6224,10,14,-19,-25,5
6225,7,11,-42,-26,4
6226,6,10,-20,-27,4
6227,10,10,-28,-25,4
6228,10,10,-55,-24,4
6229,10,11,-51,-23,-2
6230,13,11,-44,-22,1
6231,13,12,-20,-21,1
6232,12,12,-31,-19,0
6233,14,12,-8,-18,-3
6234,11,12,25,-17,0
6235,15,13,20,-16,0
6236,12,13,20,-16,-4
6237,14,14,68,-17,-3
6238,16,14,36,-18,-2
6239,11,14,53,-19,-1
6240,7,12,48,-21,5
6241,7,11,13,-23,4
6242,2,7,-4,-24,6
6243,5,7,-26,-24,6
6244,2,7,-30,-24,5
6245,8,7,-20,-23,4
6246,9,9,25,-22,1
6247,8,10,38,-20,0
6248,10,10,70,-18,0
6249,8,10,68,-17,-1
6250,6,10,42,-16,-1
6251,8,9,77,-14,-1
6252,8,9,110,-12,-2
6253,6,8,108,-11,-2
6254,5,8,123,-12,2
6255,5,7,117,-13,1
6256,8,7,123,-14,3
6257,8,9,159,-17,2
6258,4,8,152,-19,4
6259,2,7,169,-20,0
6260,5,7,148,-18,0
6261,0,5,147,-15,0
6262,4,4,144,-12,0
6263,10,6,144,-8,-4
6264,12,7,115,-7,-5
6265,9,8,112,-7,-5
6266,14,9,83,-10,0
6267,11,10,82,-14,0
6268,11,10,68,-14,-3
6269,11,9,44,-14,-2
6270,11,9,52,-13,-2
6271,13,10,35,-10,-5
6272,15,11,17,-9,-4
6273,19,12,14,-8,-8
6274,21,15,-12,-10,-4
6275,20,15,-24,-13,-5
6276,17,16,-36,-15,-4
6277,17,15,-23,-16,-4
6278,15,14,-35,-15,0
6279,14,13,-78,-14,-4
6280,9,10,-87,-14,-3
6281,9,9,-97,-13,-2
6282,13,8,-92,-12,1
6283,12,8,-118,-10,-4
6284,19,10,-87,-11,0
6285,19,12,-106,-12,-3
6286,18,13,-104,-12,-3
6287,20,14,-84,-12,-3
6288,14,14,-97,-12,-5
6289,10,12,-98,-12,-4
6290,8,10,-109,-11,-2
6291,9,9,-90,-12,-1
6292,9,8,-100,-12,0
6293,13,9,-127,-12,0
6294,12,10,-120,-12,-3
6295,15,11,-139,-11,-2
6296,13,11,-142,-13,-2
6297,11,10,-175,-14,1
6298,10,9,-211,-15,2
6299,14,11,-197,-15,-2
6300,12,11,-211,-15,-4
6301,14,11,-196,-16,-3
6302,14,11,-193,-17,0
6303,13,12,-175,-18,1
6304,12,12,-148,-18,2
6305,15,12,-106,-17,1
6306,12,12,-105,-17,0
6307,16,12,-68,-17,1
6308,11,12,-58,-16,0
6309,12,12,-57,-15,0
6310,12,12,-25,-15,0
6311,13,12,-15,-16,2
6312,10,12,-3,-16,-1
6313,16,13,10,-19,-1
6314,15,16,17,-20,1
6315,15,16,42,-20,0
6316,13,16,21,-19,0
6317,11,16,39,-21,1
6318,7,14,53,-22,4
6319,9,13,70,-22,3
6320,9,12,58,-21,2
6321,5,11,78,-21,4
6322,10,10,68,-23,6
6323,6,10,105,-24,2
6324,6,10,84,-26,4
