index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
3075,-300,-302,20,3,80
3076,-304,-303,-86,4,80
3077,-303,-302,-15,1,84
3078,-302,-302,16,1,84
3079,-302,-302,42,1,82
3080,-300,-302,-19,3,79
3081,-301,-301,-62,4,80
3082,-303,-301,44,2,81
3083,-305,-303,35,4,78
3084,-305,-304,-27,5,79
3085,-304,-304,-13,3,85
3086,-305,-304,7,2,81
3087,-304,-303,47,3,83
3088,-302,-303,-36,6,80
3089,-304,-303,-70,5,82
3090,-301,-302,82,2,84
3091,-301,-301,52,2,83
3092,-303,-301,-106,5,76
3093,-298,-301,-77,5,80
3094,-299,-300,77,3,82
3095,-300,-300,126,1,78
3096,-301,-300,-34,7,76
3097,-303,-301,-109,6,76
3098,-304,-302,29,3,82
3099,-307,-303,107,1,84
3100,-304,-304,9,3,81
3101,-303,-303,-133,7,75
3102,-303,-303,-51,4,82
3103,-303,-303,120,2,85
3104,-299,-303,45,3,78
3105,-305,-303,-74,4,76
3106,-305,-303,-52,2,77
3107,-307,-304,48,0,82
3108,-304,-304,88,2,83
3109,-302,-304,-24,5,77
3110,-305,-304,-22,3,78
3111,-305,-304,29,2,81
3112,-302,-304,38,3,83
3113,-304,-304,-41,5,79
3114,-303,-303,-57,6,80
3115,-308,-304,43,4,80
3116,-303,-304,38,4,82
3117,-300,-304,-18,3,82
3118,-301,-302,-51,2,82
3119,-300,-301,10,2,78
3120,-302,-301,58,4,76
3121,-298,-300,-57,8,74
3122,-295,-299,-58,6,75
3123,-301,-298,94,1,81
3124,-299,-298,84,1,83
3125,-298,-299,-68,3,76
3126,-301,-299,-104,4,79
3127,-300,-299,-11,3,79
3128,-304,-301,113,1,80
3129,-299,-301,50,2,80
3130,-302,-301,-60,3,78
3131,-306,-302,-12,2,81
3132,-302,-302,34,2,82
3133,-303,-303,59,5,79
3134,-302,-303,-30,8,78
3135,-304,-303,-76,9,78
3136,-305,-303,21,6,78
3137,-301,-303,68,4,79
3138,-306,-304,4,4,83
3139,-309,-305,-76,4,82
3140,-307,-305,9,4,82
3141,-303,-305,83,3,84
3142,-300,-304,26,5,77
3143,-302,-304,13,5,80
3144,-303,-303,37,3,83
3145,-302,-302,45,4,82
3146,-303,-303,-47,5,79
3147,-302,-303,-59,5,82
3148,-300,-302,68,5,79
3149,-300,-301,94,5,79
3150,-297,-300,-39,7,79
3151,-299,-300,-66,7,78
3152,-302,-299,38,3,78
3153,-302,-300,37,5,79
3154,-304,-301,13,7,78
3155,-304,-302,-62,7,81
3156,-303,-303,-13,5,78
3157,-302,-302,48,1,85
3158,-295,-301,98,1,84
3159,-303,-301,-45,3,77
3160,-306,-301,-126,4,80
3161,-301,-302,15,4,77
3162,-300,-301,88,2,80
3163,-297,-300,2,4,79
3164,-300,-300,-75,6,78
3165,-299,-300,17,3,80
3166,-298,-299,58,1,80
3167,-295,-299,-13,2,80
3168,-296,-298,-82,3,76
3169,-302,-298,-26,2,79
3170,-304,-300,40,1,79
3171,-298,-300,79,2,80
3172,-297,-300,16,4,80
3173,-305,-300,-43,2,77
3174,-304,-301,-10,2,80
3175,-301,-301,17,1,80
3176,-299,-301,-9,2,80
3177,-299,-301,-33,3,77
3178,-300,-300,47,1,80
3179,-298,-299,63,1,77
3180,-296,-299,-53,2,80
3181,-297,-298,-57,1,76
3182,-297,-298,48,2,80
3183,-302,-298,51,2,80
3184,-299,-299,7,4,76
3185,-301,-300,-49,4,76
3186,-303,-301,36,4,80
3187,-302,-302,97,4,77
3188,-299,-302,-4,6,77
3189,-302,-302,-61,5,80
3190,-301,-301,-161,3,80
3191,-302,-301,75,-1,80
3192,-299,-301,125,-1,81
3193,-298,-301,-15,2,75
3194,-301,-300,-64,2,76
3195,-296,-299,3,3,74
3196,-298,-298,102,3,79
3197,-301,-299,2,3,75
3198,-300,-299,-90,4,79
3199,-301,-299,-25,1,82
3200,-300,-299,53,0,78
3201,-300,-300,63,1,76
3202,-306,-301,-6,5,80
3203,-304,-302,-98,5,76
3204,-303,-302,21,4,79
3205,-303,-302,63,3,79
3206,-300,-302,9,3,79
3207,-304,-302,-25,3,81
3208,-302,-302,1,1,78
3209,-302,-302,39,3,76
3210,-303,-303,0,5,79
3211,-304,-303,-110,6,76
3212,-305,-303,45,3,79
3213,-302,-303,94,2,80
3214,-299,-302,-41,5,79
3215,-299,-301,-39,3,76
3216,-300,-300,-31,2,76
3217,-301,-301,75,1,80
3218,-297,-300,30,2,76
3219,-296,-298,-77,3,77
3220,-299,-298,-46,0,74
3221,-298,-297,56,-2,78
3222,-298,-298,93,0,76
3223,-294,-297,-43,2,74
3224,-294,-295,-142,3,74
3225,-295,-295,83,0,77
3226,-295,-295,81,-1,77
3227,-292,-295,-15,0,76
3228,-297,-295,-82,0,79
3229,-297,-296,-29,-2,76
3230,-297,-297,91,-2,79
3231,-294,-296,47,0,76
3232,-295,-296,-13,2,75
3233,-299,-296,2,3,73
3234,-297,-296,-3,1,79
3235,-296,-297,61,2,75
3236,-298,-297,-33,2,79
3237,-300,-298,-59,3,75
3238,-300,-299,-4,3,79
3239,-302,-300,14,1,81
3240,-301,-301,21,0,78
3241,-300,-301,-37,1,81
3242,-303,-301,20,0,78
3243,-304,-302,18,0,78
3244,-305,-303,12,2,80
3245,-304,-303,-50,4,79
3246,-303,-303,-62,5,76
3247,-305,-303,77,1,82
3248,-301,-303,80,0,81
