index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
6234,-8,-5,69,-1,5
6235,-10,-5,6,-1,5
6236,-12,-6,-6,0,7
6237,-7,-6,13,0,7
6238,-5,-5,-1,0,6
6239,-3,-4,-5,0,2
6240,-7,-4,5,0,2
6241,-7,-4,-6,1,2
6242,-2,-4,-32,1,5
6243,0,-3,-48,2,0
6244,-3,-2,-33,3,-2
6245,-6,-2,-11,4,-1
6246,-2,-3,-46,5,0
6247,-4,-3,-5,6,3
6248,-6,-3,32,8,2
6249,-5,-3,0,10,2
6250,0,-2,-6,11,0
6251,0,0,-3,11,-2
6252,-1,0,-31,10,0
6253,-3,-1,-31,9,-2
6254,-1,0,-68,9,1
6255,3,0,-70,8,1
6256,3,1,-69,8,0
6257,5,2,-129,9,0
6258,4,2,-162,10,-5
6259,7,2,-129,12,-4
6260,8,2,-143,12,-3
6261,11,3,-106,11,-3
6262,10,4,-68,11,-3
6263,11,5,-31,10,-6
6264,9,5,-27,10,-8
6265,6,5,-35,6,-1
6266,4,5,-63,2,-2
6267,3,4,-5,-1,-2
6268,0,2,33,-3,-1
6269,-1,0,83,-3,0
6270,-1,0,129,-4,2
6271,-1,0,149,-3,2
6272,0,0,103,-3,3
6273,-3,0,141,-3,0
6274,-7,-2,152,-5,4
6275,-7,-3,174,-7,9
6276,-9,-3,158,-8,5
6277,-11,-4,134,-7,5
6278,-12,-5,89,-7,5
6279,-11,-6,33,-6,7
6280,-11,-7,-8,-2,6
6281,-10,-7,6,0,5
6282,-9,-7,26,1,4
6283,-5,-5,-3,3,1
6284,-5,-4,-1,5,1
6285,-5,-4,-32,6,0
6286,0,-3,-34,6,-2
6287,0,-2,-34,6,1
6288,3,0,-19,7,0
6289,0,0,-37,7,0
6290,0,0,-50,5,-2
6291,1,0,-58,5,-1
6292,-3,-1,-62,6,1
6293,-1,-2,-82,6,-1
6294,-4,-2,-100,5,0
6295,-3,-4,-81,5,0
6296,-5,-4,-45,7,-1
6297,0,-3,-37,8,-1
6298,-1,-2,-19,10,-3
6299,0,-1,-9,9,0
6300,0,-1,6,10,0
6301,-6,-2,-5,9,1
6302,-6,-3,-11,7,1
6303,-4,-4,-59,6,0
6304,-5,-5,-53,5,0
6305,-4,-5,-29,5,3
6306,-3,-5,21,5,3
6307,0,-4,36,6,0
6308,-3,-3,67,7,-1
6309,-5,-3,80,6,-1
6310,-2,-3,34,6,-1
6311,-5,-3,83,4,-1
6312,-6,-3,98,2,2
6313,-6,-4,114,-1,2
6314,-2,-3,104,-4,4
6315,-1,-1,131,-7,4
6316,-3,-1,102,-10,4
6317,-8,-2,77,-10,9
6318,-10,-4,20,-8,8
6319,-6,-4,31,-4,7
6320,-4,-3,21,0,3
6321,-3,-1,-53,5,-3
6322,-2,0,-34,6,-3
6323,-3,0,-37,7,-2
6324,1,0,-65,6,-1
6325,9,2,-136,5,0
6326,9,5,-155,3,0
6327,9,6,-165,0,0
6328,10,7,-172,-3,0
6329,8,6,-162,-7,1
6330,11,6,-96,-9,0
6331,11,6,-87,-9,0
6332,9,6,-28,-7,-1
6333,4,5,-43,-3,-4
6334,3,4,11,-2,-3
6335,0,2,51,0,0
6336,0,0,56,1,2
6337,-1,-1,59,1,-1
6338,0,-1,4,1,2
6339,-4,-1,-18,2,-1
6340,-7,-3,-73,0,4
6341,-9,-4,-24,0,6
6342,-8,-6,16,1,1
6343,-7,-8,55,3,5
6344,-6,-7,34,6,1
6345,-1,-5,29,7,-1
6346,-3,-4,48,5,1
6347,-5,-4,70,3,3
6348,-7,-4,105,1,3
6349,-6,-4,94,1,3
6350,-5,-4,101,0,3
6351,-5,-3,92,-1,3
6352,-5,-3,99,-2,3
6353,-5,-3,99,-3,2
6354,-7,-4,78,-5,7
6355,-6,-5,39,-6,9
6356,-7,-5,44,-6,9
6357,-5,-4,-13,-5,2
6358,-4,-3,-10,-5,2
6359,-5,-3,60,-5,6
6360,-10,-5,45,-3,6
6361,-6,-5,4,-2,6
6362,-3,-3,-43,0,3
6363,0,-2,-82,2,2
6364,0,-1,-45,2,3
6365,-4,-1,-74,1,3
6366,-1,-1,-77,3,0
6367,3,0,-137,3,0
6368,5,1,-162,4,-1
6369,3,1,-156,4,-1
6370,5,1,-97,5,0
6371,2,1,-34,6,0
6372,3,0,-37,8,0
6373,1,0,-21,8,-1
6374,0,-1,-82,9,-1
6375,1,-2,-71,7,0
6376,2,0,-38,6,-2
6377,0,0,-53,5,0
6378,0,-1,-6,3,0
6379,-1,-1,37,2,4
6380,0,-1,24,2,3
6381,-1,-1,34,1,0
6382,-1,-1,-19,0,0
6383,-4,-2,-39,0,0
6384,-1,-2,-49,-1,4
6385,-4,-3,-9,-1,4
6386,-4,-4,72,0,4
6387,0,-3,72,2,1
6388,1,-1,54,4,1
6389,-1,-1,55,6,-2
6390,-3,-2,59,7,-2
6391,0,-2,76,9,1
6392,0,-1,62,10,-2
6393,-1,-1,98,10,0
6394,-1,-1,131,9,2
6395,-1,0,177,6,-1
6396,-7,-1,129,4,2
6397,-8,-3,76,3,7
6398,-8,-4,63,0,6
6399,-9,-5,93,0,6
6400,-9,-6,125,0,5
6401,-6,-5,177,0,8
6402,-8,-4,128,0,7
6403,-7,-4,63,0,5
6404,-6,-3,10,0,5
6405,-7,-4,-5,1,4
6406,-8,-4,-8,3,5
6407,-4,-4,27,5,5
6408,0,-2,-19,9,-1
6409,0,0,-66,11,-7
6410,2,1,-114,11,-3
6411,1,1,-134,12,-2
6412,4,1,-125,12,-2
6413,3,1,-114,10,-3
6414,9,2,-114,9,0
6415,6,3,-112,6,0
6416,3,2,-92,3,0
6417,3,2,-54,0,3
6418,2,0,-62,-2,3
6419,2,0,-53,-2,3
6420,3,1,-30,-1,3
6421,-1,1,56,0,0
6422,5,1,55,0,0
6423,2,2,75,1,-1
6424,0,1,35,2,1
6425,0,0,9,1,-1
6426,-5,0,-38,1,1
6427,0,0,-42,1,4
6428,-2,0,0,1,-1
6429,0,0,10,2,2
6430,0,0,19,5,-1
6431,-2,0,20,6,-2
6432,-2,0,42,6,1
6433,-5,0,75,5,3
6434,-6,-1,69,4,2
6435,-9,-3,77,2,4
6436,-5,-4,43,2,2
6437,-8,-4,27,1,2
6438,-5,-5,24,0,2
6439,0,-2,22,0,3
6440,0,-1,-8,2,0
6441,7,1,-14,1,-2
6442,1,2,38,3,-2
6443,2,3,44,4,-4
6444,-2,2,0,3,0
6445,-1,1,-1,1,2
6446,0,1,-11,-1,5
6447,0,1,-15,-3,5
6448,1,1,14,-4,5
6449,0,1,-22,-3,2
6450,3,1,-13,-2,0
6451,-1,1,-10,0,0
6452,-1,0,-42,1,0
6453,0,0,-41,1,2
6454,1,-1,-76,2,0
6455,1,-1,-69,2,2
6456,-1,-1,-68,1,2
6457,-1,-2,-28,1,2
6458,-6,-2,-32,2,1
6459,-4,-3,-11,2,1
6460,0,-3,-55,2,0
6461,-1,-2,-62,3,-2
6462,0,-1,-34,2,-2
6463,-2,-1,7,1,1
6464,-1,-2,16,0,1
6465,-1,-2,38,0,1
6466,-5,-4,24,0,1
6467,-4,-4,61,0,1
6468,-9,-5,120,1,4
6469,-5,-6,110,3,4
6470,-4,-4,146,2,3
6471,-3,-3,67,2,0
6472,-3,-3,21,1,2
6473,-8,-3,47,0,2
6474,-4,-4,40,-1,6
6475,-6,-4,53,-2,6
6476,-10,-5,75,-1,5
6477,-10,-5,60,0,4
6478,-11,-6,111,0,6
6479,-12,-7,115,1,5
6480,-9,-7,70,2,5
6481,-8,-6,32,1,7
6482,-7,-6,-15,0,6
6483,-4,-5,-60,0,2
6484,0,-3,-87,-2,3
6485,0,-2,-132,-2,6
6486,3,-1,-128,-2,0
6487,4,0,-174,-1,3
6488,6,0,-222,0,1
6489,6,1,-224,3,-3
6490,5,1,-179,7,-2
6491,0,0,-119,9,-2
6492,0,0,-90,10,-1
6493,3,-1,-77,10,0
6494,2,-1,-39,11,-5
6495,0,-1,-27,9,-1
6496,-1,-2,13,7,-1
6497,-1,-3,7,4,0
6498,-4,-4,27,2,0
6499,-2,-5,26,2,1
6500,-4,-4,37,3,-1
6501,-7,-5,94,6,0
6502,-4,-5,132,8,-1
6503,-3,-4,118,8,-1
6504,-3,-4,71,9,0
6505,-3,-3,61,9,-1
6506,-4,-3,77,6,0
6507,-7,-3,103,4,5
6508,-7,-4,44,1,4
6509,-12,-5,5,-1,5
6510,-13,-8,-9,-2,6
6511,-12,-9,0,-4,10
6512,-12,-9,48,-5,6
6513,-11,-9,15,-2,5
6514,-11,-9,3,0,5
6515,-7,-8,-1,0,7
6516,-7,-7,-13,0,3
6517,-5,-7,18,1,4
6518,-6,-6,44,0,5
6519,-5,-5,55,0,2
6520,-6,-4,43,0,3
6521,0,-4,-1,0,6
6522,-2,-3,-46,0,6
6523,-2,-2,-43,1,5
6524,-1,-1,-1,1,1
6525,-1,0,23,2,1
6526,-4,-1,23,3,1
6527,-2,-2,-51,5,1
6528,0,0,-60,5,1
6529,0,0,-55,7,1
6530,-3,0,-86,10,0
6531,-2,0,-79,12,-5
6532,2,0,-116,13,1
6533,3,0,-113,13,-3
6534,6,0,-157,14,-2
6535,7,0,-74,13,-1
6536,8,2,-69,12,-1
6537,12,4,-37,11,-4
6538,12,6,-61,12,-4
6539,11,6,-42,13,-6
6540,10,7,-58,12,-6
6541,9,7,19,14,-9
6542,0,4,-30,14,-5
6543,0,2,75,11,-2
6544,-8,-1,50,9,0
6545,-9,-4,79,5,1
6546,-4,-4,72,2,3
6547,-4,-4,77,-1,-25
6548,0,-3,68,-9,-57
6549,-2,-2,146,-25,-91
6550,-4,-2,164,-49,-77
6551,-3,-3,151,-75,-57
6552,-7,-5,42,-103,-46
6553,-7,-6,-13,-128,-39
6554,-3,-7,-115,-151,-36
6555,-2,-8,-167,-175,-35
6556,-3,-8,-260,-201,-26
6557,-6,-10,-298,-233,-21
6558,-2,-12,-340,-272,-6
6559,-10,-14,-438,-318,2
6560,-9,-18,-545,-373,26
6561,-14,-22,-618,-432,46
6562,-17,-27,-773,-495,66
6563,-18,-31,-846,-558,82
6564,-28,-38,-980,-620,104
6565,-40,-48,-1041,-677,127
6566,-50,-59,-1047,-726,139
6567,-63,-71,-1055,-765,151
6568,-70,-82,-1072,-789,161
6569,-80,-94,-1066,-799,158
6570,-95,-105,-992,-791,156
6571,-108,-116,-811,-765,148
6572,-122,-127,-561,-720,130
6573,-137,-138,-528,-656,112
6574,-149,-150,-487,-579,97
6575,-159,-160,-217,-491,69
6576,-175,-169,-20,-397,45
6577,-181,-177,35,-297,24
6578,-187,-184,24,-203,3
6579,-192,-188,104,-122,-11
6580,-196,-191,278,-53,-22
6581,-195,-193,242,1,-24
6582,-192,-193,143,42,-33
6583,-190,-192,82,65,-25
6584,-191,-191,83,70,-17
6585,-190,-189,0,56,-6
6586,-182,-187,37,29,9
6587,-176,-183,-12,-4,21
6588,-170,-179,-134,-42,32
6589,-174,-178,-177,-80,41
6590,-172,-178,-269,-125,55
6591,-171,-179,-363,-171,70
6592,-171,-179,-433,-214,85
6593,-177,-181,-429,-252,93
6594,-181,-184,-474,-287,101
6595,-190,-189,-466,-316,105
6596,-197,-196,-352,-333,113
6597,-206,-203,-395,-338,110
6598,-214,-210,-347,-335,108
