index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
9464,-312,-310,46,11,83
9465,-312,-311,100,11,85
9466,-307,-310,10,13,83
9467,-306,-308,-29,12,85
9468,-307,-307,-65,10,90
9469,-308,-307,87,9,107
9470,-300,-306,71,29,125
9471,-301,-303,-6,66,116
9472,-304,-302,-21,96,113
9473,-307,-302,63,106,112
9474,-308,-302,81,105,118
9475,-307,-303,99,101,122
9476,-303,-303,27,103,122
9477,-308,-302,67,109,123
9478,-310,-302,120,118,125
9479,-307,-303,162,130,125
9480,-308,-303,77,143,126
9481,-308,-303,183,155,123
9482,-307,-302,257,169,123
9483,-301,-300,172,184,122
9484,-300,-298,109,194,125
9485,-299,-296,254,200,124
9486,-296,-293,343,208,126
9487,-293,-291,145,220,123
9488,-291,-287,113,228,125
9489,-287,-284,371,232,123
9490,-281,-281,381,245,124
9491,-281,-278,142,261,121
9492,-278,-274,246,270,120
9493,-270,-270,498,283,118
9494,-267,-266,359,300,113
9495,-270,-262,266,315,109
9496,-266,-259,460,329,110
9497,-256,-255,512,347,104
9498,-253,-250,422,369,98
9499,-251,-245,494,389,94
9500,-241,-239,609,410,89
9501,-233,-233,511,431,86
9502,-229,-226,569,451,80
9503,-221,-218,685,474,73
9504,-212,-211,634,499,66
9505,-204,-203,643,525,59
9506,-200,-194,761,552,50
9507,-192,-186,857,583,42
9508,-184,-178,834,618,32
9509,-169,-169,777,653,21
9510,-161,-158,903,684,10
9511,-153,-148,994,710,0
9512,-146,-137,1083,741,-11
9513,-134,-127,1045,773,-22
9514,-122,-116,1038,800,-34
9515,-106,-103,1089,828,-46
9516,-90,-90,1054,850,-59
9517,-75,-75,1066,863,-69
9518,-62,-60,1007,870,-78
9519,-48,-44,1071,868,-89
9520,-35,-30,1040,861,-95
9521,-23,-16,1029,844,-101
9522,-10,-3,978,819,-107
9523,6,9,870,783,-114
9524,19,23,768,741,-112
9525,36,36,658,691,-116
9526,49,49,514,634,-119
9527,67,61,385,562,-113
9528,79,73,280,484,-112
9529,93,84,190,409,-105
9530,105,95,85,336,-103
9531,111,105,-42,255,-100
9532,116,112,-142,171,-90
9533,122,116,-274,90,-85
9534,120,118,-321,19,-80
9535,118,120,-304,-40,-74
9536,123,121,-260,-92,-68
9537,119,119,-312,-141,-65
9538,111,116,-301,-187,-59
9539,113,113,-348,-227,-54
9540,117,110,-445,-256,-52
9541,114,108,-459,-278,-50
9542,112,106,-478,-298,-44
9543,109,102,-531,-316,-43
9544,99,98,-484,-335,-38
9545,93,93,-471,-353,-31
