index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
10621,-14,-13,41,13,10
10622,-8,-12,21,12,8
10623,-12,-11,4,12,10
10624,-11,-11,33,12,8
10625,-13,-11,-28,12,10
10626,-12,-12,-24,12,8
10627,-12,-12,-29,10,10
10628,-15,-12,19,5,12
10629,-12,-11,95,4,12
10630,-11,-10,91,4,11
10631,-11,-10,68,8,11
10632,-6,-9,12,12,9
10633,-2,-8,-54,14,7
10634,-1,-7,-16,14,6
10635,-4,-6,-61,12,8
10636,-4,-4,-16,7,8
10637,-1,-3,53,3,9
10638,-5,-2,0,2,7
10639,-5,-3,50,3,9
10640,-6,-4,41,5,7
10641,-9,-5,35,5,9
10642,-8,-6,87,4,11
10643,-5,-6,36,7,7
10644,-2,-6,12,9,9
10645,-3,-5,-5,13,7
10646,-7,-6,-111,14,5
10647,-5,-7,-69,12,6
10648,-8,-7,-14,9,8
10649,-14,-7,43,8,8
10650,-14,-9,101,7,10
10651,-11,-10,50,7,12
10652,-14,-11,41,8,11
10653,-11,-11,37,11,10
10654,-9,-11,7,13,8
10655,-9,-10,5,14,8
10656,-13,-10,11,15,9
10657,-11,-10,-15,14,7
10658,-8,-10,-18,11,9
10659,-9,-9,-90,8,7
10660,-12,-10,-12,5,11
10661,-14,-10,51,5,9
10662,-16,-10,84,7,8
10663,-16,-12,126,8,10
10664,-16,-13,71,10,8
10665,-16,-15,37,12,10
10666,-16,-16,-7,13,8
10667,-15,-17,-21,13,10
10668,-13,-16,-60,11,10
10669,-17,-15,-41,10,8
10670,-14,-14,14,9,10
10671,-13,-13,1,9,8
10672,-10,-13,-25,7,10
10673,-4,-11,-7,3,8
10674,-2,-8,69,1,10
10675,-5,-7,60,2,8
10676,-1,-4,65,4,10
10677,-5,-3,60,8,9
10678,-9,-5,46,11,7
10679,-1,-5,-56,13,9
10680,-1,-5,-102,12,6
10681,-2,-3,-59,10,8
10682,-3,-3,-6,5,10
10683,-7,-3,58,2,8
10684,-9,-4,8,4,10
10685,-8,-6,51,7,8
10686,-10,-6,40,10,8
10687,-10,-7,82,13,10
10688,-12,-8,53,13,9
10689,-8,-9,44,11,9
10690,-10,-9,61,13,10
10691,-9,-9,-15,15,9
10692,-3,-8,-93,15,7
10693,-11,-7,-47,13,7
10694,-15,-10,-10,14,7
10695,-12,-11,27,14,10
10696,-14,-11,57,12,9
10697,-11,-10,58,12,7
10698,-10,-9,80,12,7
10699,-9,-9,37,12,10
10700,-5,-9,-4,10,8
10701,-6,-8,11,11,9
10702,-8,-7,5,13,7
10703,-15,-9,14,15,9
10704,-14,-11,-27,15,7
10705,-8,-11,-45,11,9
10706,-10,-10,-32,8,10
10707,-7,-10,19,6,9
10708,-6,-9,-6,5,11
