index,u_y*1000,Us
7769,9,0
7770,12,1000
7771,12,0
7772,10,-1000
7773,9,0
7774,12,1000
7775,12,0
7776,10,-1000
7777,9,0
7778,12,1000
7779,12,0
7780,10,-1000
7781,9,0
7782,12,1000
7783,12,0
7784,10,-1000
7785,9,0
7786,12,1000
7787,12,0
7788,10,-1000
7789,9,0
7790,12,1000
7791,12,0
7792,10,-1000
7793,9,0
7794,12,1000
7795,12,0
7796,10,-1000
7797,9,0
7798,12,1000
7799,12,0
7800,10,-1000
7801,9,0
7802,12,1000
7803,12,0
7804,10,-1000
7805,9,0
7806,12,1000
7807,12,0
7808,10,-1000
7809,9,0
7810,12,1000
7811,12,0
7812,10,-1000
7813,9,0
7814,12,1000
7815,12,0
7816,10,-1000
7817,9,0
7818,12,1000
7819,12,0
7820,10,-1000
7821,9,0
7822,12,1000
7823,12,0
7824,10,-1000
7825,9,0
7826,12,1000
7827,12,0
7828,10,-1000
7829,9,0
7830,12,1000
7831,12,0
7832,10,-1000
7833,9,0
7834,12,1000
7835,12,0
7836,10,-1000
7837,9,0
7838,12,1000
7839,12,0
7840,10,-1000
7841,9,0
7842,12,1000
7843,12,0
7844,10,-1000
7845,9,0
7846,12,1000
7847,12,0
7848,10,-1000
7849,9,0
7850,12,1000
7851,12,0
7852,10,-1000
7853,9,0
7854,12,1000
7855,13,0
7856,10,-1000
7857,10,0
7858,12,1000
7859,13,0
7860,10,-1000
7861,10,0
7862,12,1000
7863,13,0
7864,10,-1000
7865,10,0
7866,12,1000
7867,13,0
7868,10,-1000
7869,10,0
7870,12,1000
7871,13,0
7872,10,-1000
7873,10,0
7874,12,1000
7875,13,0
7876,10,-1000
7877,10,0
7878,12,1000
7879,13,0
7880,10,-1000
7881,10,0
7882,12,1000
7883,13,0
7884,10,-1000
7885,10,0
7886,12,1000
7887,13,0
7888,10,-1000
7889,10,0
7890,12,1000
7891,13,0
7892,10,-1000
7893,10,0
7894,12,1000
7895,13,0
7896,10,-1000
7897,10,0
7898,12,1000
7899,13,0
7900,10,-1000
7901,10,0
7902,12,1000
7903,13,0
7904,10,-1000
7905,10,0
7906,12,1000
7907,13,0
7908,11,-1000
7909,10,0
7910,12,1000
7911,13,0
7912,11,-1000
7913,10,0
7914,13,1000
7915,13,0
7916,11,-1000
7917,10,0
7918,13,1000
7919,13,0
7920,11,-1000
7921,10,0
7922,13,1000
7923,13,0
7924,11,-1000
7925,10,0
7926,13,1000
7927,13,0
7928,11,-1000
7929,11,0
7930,13,1000
7931,14,0
7932,11,-1000
7933,11,0
7934,13,1000
7935,14,0
7936,11,-1000
7937,11,0
7938,13,1000
7939,14,0
7940,11,-1000
7941,11,0
7942,13,1000
7943,14,0
7944,11,-1000
7945,11,0
7946,13,1000
7947,14,0
7948,11,-1000
7949,11,0
7950,13,1000
7951,14,0
7952,11,-1000
7953,11,0
7954,13,1000
7955,14,0
7956,12,-1000
7957,11,0
7958,13,1000
7959,14,0
7960,12,-1000
7961,11,0
7962,14,1000
7963,14,0
7964,12,-1000
7965,11,0
7966,14,1000
7967,14,0
7968,12,-1000
7969,9,-1000
7970,8,0
7971,11,1000
7972,11,0
7973,13,1000
7974,14,0
7975,12,-1000
7976,9,-1000
7977,8,0
7978,10,1000
7979,13,1000
7980,14,0
7981,11,-1000
7982,11,0
7983,13,1000
7984,14,0
7985,12,-1000
7986,11,0
7987,13,1000
7988,14,0
7989,12,-1000
7990,11,0
7991,13,1000
7992,14,0
7993,12,-1000
7994,11,0
7995,14,1000
7996,14,0
7997,12,-1000
7998,11,0
7999,14,1000
8000,14,0
8001,12,-1000
8002,11,0
8003,14,1000
8004,14,0
8005,12,-1000
8006,12,0
8007,14,1000
8008,15,0
8009,12,-1000
8010,12,0
8011,14,1000
8012,15,0
8013,12,-1000
8014,12,0
8015,14,1000
8016,15,0
8017,13,-1000
8018,12,0
8019,13,416
8020,13,0
8021,11,-1000
8022,10,0
8023,13,1000
8024,13,0
8025,11,-1000
8026,11,0
8027,13,1000
8028,14,0
8029,11,-1000
8030,10,0
8031,13,1000
8032,13,0
8033,11,-1000
8034,10,0
8035,13,1000
8036,13,0
8037,11,-1000
8038,10,0
8039,13,1000
8040,13,0
8041,11,-1000
8042,10,0
8043,12,1000
8044,13,0
8045,10,-1000
8046,10,0
8047,12,1000
8048,13,0
8049,10,-1000
