index,u_y*1000,Us
7550,11,1000
7551,11,0
7552,9,-1000
7553,8,0
7554,11,1000
7555,11,0
7556,9,-1000
7557,8,0
7558,11,1000
7559,11,0
7560,9,-1000
7561,8,0
7562,11,1000
7563,13,1000
7564,14,0
7565,12,-1000
7566,9,-1000
7567,8,0
7568,11,1000
7569,13,1000
7570,15,0
7571,12,-1000
7572,10,-1000
7573,9,0
7574,11,1000
7575,12,0
7576,9,-1000
7577,9,0
7578,11,1000
7579,12,0
7580,9,-1000
7581,9,0
7582,11,1000
7583,12,0
7584,9,-1000
7585,9,0
7586,11,1000
7587,12,0
7588,9,-1000
7589,9,0
7590,11,1000
7591,12,0
7592,9,-1000
7593,9,0
7594,11,1000
7595,12,0
7596,9,-1000
7597,9,0
7598,11,1000
7599,12,0
7600,9,-1000
7601,9,0
7602,11,1000
7603,12,0
7604,9,-1000
7605,9,0
7606,11,1000
7607,12,0
7608,9,-1000
7609,9,0
7610,11,1000
7611,12,0
7612,9,-1000
7613,9,0
7614,11,1000
7615,12,0
7616,9,-1000
7617,9,0
7618,11,1000
7619,12,0
7620,9,-1000
7621,9,0
7622,11,1000
7623,12,0
7624,9,-1000
7625,9,0
7626,11,1000
7627,12,0
7628,9,-1000
7629,9,0
7630,11,1000
7631,12,0
7632,9,-1000
7633,9,0
7634,11,1000
7635,12,0
7636,9,-1000
7637,9,0
7638,11,1000
7639,12,0
7640,9,-1000
7641,9,0
7642,11,1000
7643,12,0
7644,9,-1000
7645,9,0
7646,11,1000
7647,12,0
7648,9,-1000
7649,9,0
7650,11,1000
7651,12,0
7652,9,-1000
7653,9,0
7654,11,1000
7655,12,0
7656,10,-1000
7657,9,0
7658,11,1000
7659,12,0
7660,10,-1000
7661,9,0
7662,12,1000
7663,12,0
7664,10,-1000
7665,9,0
7666,11,1000
7667,12,0
7668,10,-1000
7669,9,0
7670,11,1000
7671,12,0
7672,10,-1000
7673,9,0
7674,12,1000
7675,12,0
7676,10,-1000
7677,9,0
7678,12,1000
7679,12,0
7680,10,-1000
7681,9,0
7682,12,1000
7683,12,0
7684,10,-1000
7685,9,0
7686,12,1000
7687,12,0
7688,10,-1000
7689,9,0
7690,12,1000
7691,12,0
7692,10,-1000
7693,9,0
7694,12,1000
7695,12,0
7696,10,-1000
7697,9,0
7698,12,1000
7699,12,0
7700,10,-1000
7701,9,0
7702,12,1000
7703,12,0
7704,10,-1000
7705,9,0
7706,12,1000
7707,12,0
7708,10,-1000
7709,9,0
7710,12,1000
7711,12,0
7712,10,-1000
7713,9,0
7714,12,1000
7715,12,0
7716,10,-1000
7717,9,0
7718,12,1000
7719,12,0
7720,10,-1000
7721,9,0
7722,12,1000
7723,12,0
7724,10,-1000
7725,9,0
7726,12,1000
7727,12,0
7728,10,-1000
7729,9,0
7730,12,1000
7731,12,0
7732,10,-1000
7733,9,0
7734,12,1000
7735,12,0
7736,10,-1000
7737,9,0
7738,12,1000
7739,12,0
7740,10,-1000
7741,9,0
7742,12,1000
7743,12,0
7744,10,-1000
7745,9,0
7746,12,1000
7747,12,0
7748,10,-1000
7749,9,0
7750,12,1000
7751,12,0
7752,10,-1000
7753,9,0
7754,12,1000
7755,12,0
7756,10,-1000
7757,9,0
7758,12,1000
7759,12,0
7760,10,-1000
7761,9,0
7762,12,1000
7763,12,0
7764,10,-1000
7765,9,0
7766,12,1000
7767,12,0
7768,10,-1000
