index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
1179,-204,-206,-8,5,58
1180,-203,-205,-33,4,55
1181,-198,-203,-19,4,52
1182,-201,-203,-16,3,58
1183,-204,-202,29,2,54
1184,-202,-201,81,3,52
1185,-201,-202,-3,7,55
1186,-202,-202,2,5,52
1187,-203,-201,-16,2,58
1188,-201,-201,-34,0,54
1189,-202,-202,19,1,58
1190,-200,-201,7,0,54
1191,-204,-201,-3,0,58
1192,-201,-201,-27,3,54
1193,-199,-202,-51,3,52
1194,-205,-202,28,5,55
1195,-205,-202,-6,4,52
1196,-203,-203,28,6,55
1197,-204,-204,52,6,57
1198,-204,-203,2,5,54
1199,-199,-202,-16,5,54
1200,-204,-202,-48,5,52
1201,-206,-203,6,3,53
1202,-204,-202,51,3,56
1203,-204,-202,-24,4,53
1204,-204,-204,65,6,56
1205,-206,-205,-57,6,53
1206,-205,-205,6,4,59
1207,-206,-205,20,5,56
1208,-208,-205,20,8,53
1209,-204,-205,47,10,56
1210,-197,-202,-1,10,49
1211,-193,-200,-85,9,52
1212,-197,-199,3,7,52
1213,-198,-198,-3,2,55
1214,-198,-197,75,0,54
1215,-198,-197,68,1,53
1216,-203,-199,-14,1,56
1217,-202,-200,17,0,55
1218,-199,-200,-28,0,54
1219,-203,-201,4,2,54
1220,-205,-201,75,3,54
1221,-201,-201,19,3,56
1222,-198,-201,34,4,53
1223,-198,-201,-13,5,53
1224,-199,-200,28,4,53
1225,-196,-199,-22,2,55
1226,-200,-198,-39,1,51
1227,-201,-199,53,-1,55
1228,-201,-200,27,-1,55
1229,-199,-200,-18,1,53
1230,-198,-200,-12,4,53
1231,-201,-200,-53,3,55
1232,-203,-200,29,1,52
1233,-198,-199,33,2,55
1234,-196,-199,14,3,52
1235,-199,-199,6,2,55
1236,-201,-200,-31,2,52
1237,-199,-200,-25,4,55
1238,-203,-200,35,4,52
1239,-201,-200,10,3,55
1240,-200,-200,60,2,52
1241,-198,-200,-3,5,55
1242,-196,-199,-48,4,52
1243,-196,-198,46,4,52
1244,-195,-197,-53,2,50
1245,-193,-196,45,2,50
1246,-196,-195,39,1,54
1247,-198,-195,5,0,56
1248,-198,-197,10,0,57
1249,-196,-198,-63,0,54
1250,-201,-198,-26,2,52
1251,-197,-198,53,0,52
1252,-203,-199,2,0,55
1253,-202,-200,59,3,52
1254,-200,-201,35,5,55
1255,-197,-200,-24,5,54
1256,-203,-200,-13,6,54
1257,-202,-200,-66,4,56
1258,-206,-201,45,2,52
1259,-203,-202,59,2,56
1260,-198,-202,-3,3,52
1261,-201,-202,27,7,50
1262,-202,-202,3,6,53
1263,-202,-202,-9,4,50
1264,-200,-201,11,7,54
1265,-199,-200,27,5,50
1266,-201,-199,33,3,54
1267,-200,-200,-8,2,56
1268,-198,-200,-67,2,53
1269,-200,-201,17,3,56
1270,-202,-201,-16,4,50
1271,-205,-201,27,2,54
1272,-205,-202,39,4,54
1273,-203,-203,7,5,56
1274,-202,-203,14,5,54
1275,-200,-202,-68,4,51
1276,-200,-202,-61,2,54
1277,-208,-202,39,0,54
1278,-207,-204,77,0,56
1279,-206,-204,16,1,53
1280,-203,-204,59,5,51
1281,-199,-203,-52,6,54
1282,-199,-201,0,3,51
1283,-197,-200,-12,2,54
1284,-197,-199,16,0,50
1285,-201,-198,58,-1,56
1286,-197,-198,23,-2,55
1287,-201,-199,-71,0,52
1288,-205,-201,0,3,50
1289,-204,-202,-27,3,51
1290,-200,-201,-17,3,54
1291,-198,-200,48,3,54
1292,-199,-200,45,4,51
1293,-199,-200,22,3,54
1294,-199,-199,2,3,51
1295,-203,-199,-62,5,51
1296,-202,-200,-6,3,54
1297,-209,-202,12,1,54
1298,-202,-203,20,0,54
1299,-202,-203,52,0,53
1300,-201,-203,-19,1,51
1301,-202,-203,-16,2,55
1302,-204,-204,-25,4,51
1303,-208,-204,-31,5,54
1304,-206,-204,42,3,56
1305,-205,-205,40,5,55
1306,-199,-203,-37,5,49
1307,-195,-201,6,5,53
1308,-200,-200,-8,5,49
1309,-199,-200,19,3,53
1310,-202,-199,21,1,54
1311,-202,-200,15,0,51
1312,-199,-200,23,-1,52
1313,-198,-200,0,0,55
1314,-198,-200,-79,1,52
1315,-201,-200,11,3,52
1316,-198,-200,-4,1,54
1317,-202,-199,29,0,51
1318,-197,-199,23,2,54
1319,-198,-200,4,2,51
1320,-201,-200,27,1,54
1321,-199,-200,-24,1,51
1322,-201,-200,-16,0,54
1323,-202,-200,59,0,51
1324,-203,-200,13,0,54
1325,-206,-202,31,1,53
1326,-200,-202,15,4,53
1327,-200,-202,-39,5,52
1328,-203,-202,4,3,54
1329,-205,-203,-18,1,51
1330,-205,-203,-29,0,53
1331,-202,-204,83,0,56
1332,-205,-204,5,1,53
1333,-206,-204,-24,1,56
1334,-206,-205,-44,2,53
1335,-203,-204,-33,3,53
1336,-203,-203,47,4,50
1337,-207,-203,47,4,50
1338,-202,-203,23,4,54
1339,-205,-205,1,4,56
1340,-206,-205,-47,2,53
1341,-206,-206,-28,0,54
1342,-211,-207,-10,1,57
1343,-207,-207,14,2,54
1344,-213,-208,79,4,55
1345,-212,-209,10,7,52
1346,-205,-210,-49,8,55
1347,-209,-210,-11,7,55
1348,-207,-209,27,4,55
1349,-206,-207,30,4,53
1350,-207,-207,80,6,53
1351,-208,-207,-8,5,53
1352,-210,-208,32,4,56
1353,-207,-208,-61,7,56
1354,-201,-207,-19,7,52
1355,-205,-205,20,6,50
1356,-210,-204,32,6,56
1357,-200,-204,65,5,52
1358,-204,-205,-5,4,56
1359,-207,-205,-47,2,58
1360,-206,-205,1,0,55
1361,-203,-205,-54,0,55
1362,-207,-205,38,1,56
1363,-202,-204,35,2,52
1364,-202,-203,-13,4,53
1365,-204,-203,-1,7,52
1366,-200,-203,-51,6,54
1367,-203,-202,13,2,51
1368,-202,-201,-25,0,52
1369,-197,-201,12,-3,55
1370,-198,-200,42,-2,53
1371,-201,-199,-28,-2,56
1372,-197,-199,-22,0,53
1373,-199,-199,-37,4,53
1374,-205,-200,-13,5,49
1375,-200,-200,67,3,53
1376,-199,-200,-16,3,53
1377,-197,-200,7,3,51
1378,-198,-199,-9,1,54
1379,-202,-200,-33,0,57
1380,-200,-200,26,0,53
1381,-199,-200,14,2,51
1382,-204,-200,49,5,54
1383,-197,-199,18,5,52
1384,-194,-198,-88,3,52
1385,-199,-198,-4,3,52
1386,-199,-198,1,2,50
1387,-197,-198,-2,0,56
1388,-199,-198,94,0,53
1389,-199,-198,1,0,54
1390,-200,-199,12,2,51
1391,-199,-199,-45,4,52
1392,-201,-199,-52,4,52
1393,-203,-200,20,3,52
1394,-205,-200,28,2,52
1395,-203,-202,30,1,55
1396,-205,-203,58,3,52
1397,-208,-205,0,3,53
1398,-207,-205,21,1,56
1399,-200,-205,-30,2,53
1400,-205,-204,-4,3,53
1401,-204,-204,52,3,55
1402,-205,-204,-25,3,55
1403,-205,-205,18,6,51
1404,-204,-206,-12,7,54
1405,-207,-205,-13,4,56
1406,-211,-206,35,3,53
1407,-204,-206,-3,2,57
1408,-203,-206,56,4,54
1409,-203,-205,2,4,56
1410,-204,-204,-13,4,55
1411,-204,-204,2,5,52
1412,-209,-205,-30,6,55
1413,-208,-205,54,3,57
1414,-204,-205,1,1,57
1415,-200,-204,22,3,53
1416,-199,-203,0,4,53
1417,-200,-203,-11,3,53
1418,-203,-202,7,2,51
1419,-202,-201,0,2,54
1420,-203,-201,48,1,54
1421,-206,-202,31,3,56
1422,-203,-203,-46,3,53
1423,-201,-204,-78,4,56
1424,-205,-203,-16,3,53
1425,-200,-203,21,2,54
1426,-204,-202,81,3,56
1427,-207,-203,-12,6,88
1428,-199,-203,24,13,121
1429,-196,-200,-34,27,112
1430,-199,-199,37,45,101
1431,-203,-200,71,60,91
1432,-202,-199,165,74,87
1433,-201,-199,77,92,83
1434,-204,-200,130,115,78
1435,-205,-200,210,141,69
1436,-202,-199,305,171,63
1437,-203,-198,313,201,56
1438,-200,-196,273,227,45
1439,-196,-193,292,250,44
1440,-190,-189,326,264,44
1441,-186,-184,366,276,39
1442,-178,-180,316,287,38
1443,-177,-175,344,296,35
1444,-174,-171,307,302,36
1445,-172,-167,339,309,31
1446,-168,-163,349,313,32
1447,-159,-158,371,317,25
1448,-153,-153,324,321,26
1449,-148,-148,337,323,21
1450,-144,-143,345,325,17
1451,-138,-137,301,326,15
1452,-135,-132,341,326,10
1453,-132,-127,407,325,11
1454,-126,-123,345,321,9
1455,-121,-119,321,318,11
1456,-120,-115,314,314,7
1457,-113,-112,277,307,9
1458,-110,-107,225,297,13
1459,-105,-103,223,284,13
1460,-100,-99,197,271,15
1461,-97,-94,247,256,16
1462,-96,-90,257,241,15
1463,-88,-86,275,226,21
1464,-84,-82,278,212,19
1465,-77,-78,215,197,18
1466,-73,-74,211,182,23
1467,-71,-71,159,171,24
1468,-66,-68,163,159,20
1469,-60,-65,108,147,20
1470,-63,-63,89,135,20
1471,-58,-60,88,123,24
1472,-52,-58,-20,112,27
1473,-54,-55,-34,105,24
1474,-54,-54,-22,99,25
1475,-56,-52,10,95,22
1476,-59,-52,64,93,22
1477,-60,-53,117,90,22
1478,-60,-53,128,90,26
1479,-57,-54,154,93,19
1480,-57,-53,195,97,16
1481,-54,-52,236,101,13
1482,-50,-50,183,105,14
1483,-46,-48,194,107,13
1484,-43,-46,151,108,12
1485,-40,-44,115,108,11
1486,-42,-42,92,108,10
1487,-41,-43,27,109,11
1488,-36,-41,-11,109,10
1489,-35,-39,5,106,10
1490,-30,-37,16,102,9
1491,-29,-34,44,97,6
1492,-28,-31,23,94,7
1493,-29,-29,10,90,6
1494,-26,-28,-3,88,9
1495,-27,-26,-19,85,10
1496,-29,-26,-9,82,10
1497,-28,-25,-2,78,10
1498,-24,-24,-4,74,10
1499,-24,-22,33,69,10
1500,-23,-22,33,62,10
1501,-26,-22,31,54,17
1502,-18,-21,24,48,16
1503,-22,-19,22,46,13
1504,-22,-18,2,44,13
1505,-20,-18,-4,42,13
1506,-20,-16,22,39,14
1507,-20,-16,-19,36,17
1508,-12,-15,-49,34,16
1509,-17,-14,38,32,15
1510,-13,-13,62,29,11
1511,-14,-12,58,25,11
1512,-14,-11,51,23,11
1513,-13,-10,118,21,11
1514,-16,-11,99,21,15
1515,-18,-12,72,22,14
1516,-13,-12,84,23,13
1517,-14,-11,88,26,9
1518,-13,-11,83,31,10
1519,-15,-11,83,34,9
1520,-16,-12,174,36,10
1521,-19,-14,163,38,9
1522,-21,-15,162,40,8
1523,-19,-16,194,42,7
1524,-17,-15,212,44,6
1525,-15,-14,200,44,5
1526,-11,-12,189,43,4
1527,-14,-10,148,41,3
1528,-11,-10,122,36,10
1529,-10,-9,102,30,8
1530,-8,-8,84,25,10
1531,-2,-6,13,20,10
1532,-6,-5,19,15,10
1533,-6,-5,39,13,10
1534,-7,-5,63,11,12
1535,-7,-6,66,10,8
1536,-7,-6,110,11,7
1537,-9,-6,147,11,6
1538,-13,-7,173,13,8
1539,-12,-8,203,13,8
1540,-15,-9,213,13,9
1541,-13,-10,177,14,9
1542,-15,-10,150,15,9
1543,-12,-10,100,15,8
1544,-14,-10,132,12,8
1545,-10,-9,63,10,9
1546,-7,-8,13,9,11
1547,-7,-7,30,8,7
1548,-3,-6,75,8,9
1549,-4,-4,101,7,8
