index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
4828,5,11,61,-21,6
4829,6,11,57,-21,5
4830,9,11,89,-20,5
4831,9,11,119,-19,1
4832,1,10,161,-15,0
4833,0,9,204,-10,1
4834,4,8,225,-7,3
4835,9,9,228,-4,1
4836,8,9,208,-3,-2
4837,1,9,192,-3,0
4838,5,8,159,-4,1
4839,13,8,154,-6,0
4840,8,10,152,-5,-3
4841,15,11,161,-3,-4
4842,7,12,172,-4,-3
4843,8,11,160,-4,-1
4844,8,10,163,-4,-3
4845,7,10,154,-5,0
4846,7,10,153,-6,-1
4847,7,9,191,-9,0
4848,7,8,210,-9,0
4849,7,9,167,-9,-1
4850,7,8,189,-11,0
4851,7,8,178,-13,0
4852,10,9,180,-15,-1
4853,13,10,147,-16,-1
4854,16,12,136,-15,-2
4855,18,13,142,-14,-3
4856,17,15,160,-11,-5
4857,16,15,153,-9,-6
4858,15,15,140,-9,-4
4859,10,14,150,-10,0
4860,17,13,113,-12,-1
4861,16,13,75,-15,-4
4862,17,13,55,-16,-2
4863,17,14,35,-16,-3
4864,21,14,-28,-15,-6
4865,21,16,-48,-16,-5
4866,24,17,-44,-15,-8
4867,24,18,-79,-13,-7
4868,20,18,-62,-12,-8
4869,23,19,-61,-12,-7
4870,21,17,-31,-13,-7
4871,18,16,-1,-12,-6
4872,14,14,-1,-10,-6
4873,16,13,-44,-10,-5
4874,15,12,-49,-11,-5
4875,18,13,-98,-12,-4
4876,14,12,-95,-12,-3
4877,13,11,-114,-11,-5
4878,13,10,-104,-11,-4
4879,11,9,-78,-10,-4
4880,7,7,-41,-10,-3
4881,8,6,-31,-11,-3
4882,8,6,-6,-11,-2
4883,13,7,-8,-12,-4
4884,10,8,-33,-11,-3
4885,9,8,-41,-10,-5
4886,13,8,-49,-11,-4
4887,14,10,-58,-10,-1
4888,15,11,-105,-11,-1
4889,14,12,-138,-11,-2
4890,17,13,-150,-13,-2
4891,15,14,-125,-14,-4
4892,18,15,-81,-16,-4
4893,19,16,-88,-16,-4
4894,12,16,-40,-17,-1
4895,16,16,-36,-17,-1
4896,8,14,-51,-17,-1
4897,14,13,-64,-17,-1
4898,12,13,-77,-18,0
4899,11,11,-79,-16,0
4900,11,11,-109,-14,-2
4901,10,10,-113,-12,-2
4902,17,12,-139,-12,-2
4903,19,14,-129,-13,-1
4904,18,15,-122,-14,-5
4905,18,16,-124,-15,-1
4906,14,15,-88,-16,-3
4907,14,14,-43,-17,-2
4908,10,13,-35,-16,-1
4909,8,11,-35,-14,-3
4910,11,10,-24,-13,-2
4911,9,10,-52,-12,-2
4912,12,9,-39,-12,-2
4913,10,10,-75,-12,-1
4914,14,10,-87,-14,-1
4915,13,11,-100,-14,-1
4916,11,10,-109,-13,-1
4917,11,10,-73,-12,-2
4918,9,9,-58,-10,0
4919,10,8,-43,-9,-2
4920,6,7,-19,-8,0
4921,5,5,-10,-8,0
4922,8,5,-4,-10,0
4923,5,4,-2,-11,-1
4924,6,4,-13,-10,1
4925,7,5,-32,-9,-1
4926,9,6,-42,-9,-1
4927,13,8,-29,-9,-5
4928,11,10,-74,-12,-2
4929,11,10,-57,-15,0
4930,8,9,-25,-17,1
4931,9,8,-25,-16,1
4932,11,9,-12,-14,0
4933,9,10,15,-14,0
4934,14,11,15,-14,-3
4935,9,12,39,-15,0
4936,9,12,36,-16,-3
4937,5,11,12,-16,3
4938,5,9,-2,-17,0
4939,7,9,3,-18,3
4940,8,9,0,-16,3
4941,5,8,-23,-15,2
4942,11,9,-7,-16,0
4943,10,10,-1,-16,-2
4944,13,11,9,-17,-2
4945,9,12,28,-18,-1
4946,5,11,14,-21,4
4947,6,11,53,-21,4
4948,4,9,89,-22,0
4949,2,8,77,-21,0
4950,1,6,52,-21,1
4951,5,6,18,-22,1
4952,2,5,-7,-21,2
4953,4,5,16,-21,2
4954,2,5,4,-21,2
4955,4,5,31,-20,4
4956,5,5,66,-17,3
4957,5,5,42,-15,1
4958,3,5,66,-13,0
4959,3,5,129,-11,-2
4960,5,6,173,-11,-2
4961,8,7,209,-8,0
4962,5,7,222,-8,-3
4963,6,7,269,-7,0
4964,7,8,250,-8,-3
4965,11,9,216,-10,-3
4966,2,9,226,-12,-1
4967,3,7,210,-14,4
4968,1,6,186,-15,1
4969,4,5,179,-16,4
4970,5,4,139,-16,2
4971,5,5,136,-17,1
4972,4,4,95,-18,1
4973,3,4,81,-17,4
4974,1,3,112,-15,3
4975,4,2,105,-13,2
4976,5,3,146,-10,1
4977,4,3,135,-8,0
4978,6,4,142,-7,-1
4979,9,5,135,-8,-1
4980,11,6,129,-8,3
4981,12,8,79,-9,-3
4982,10,9,97,-8,2
4983,12,9,82,-8,-2
4984,8,9,61,-8,-2
4985,13,9,24,-7,0
4986,9,9,0,-6,-3
4987,13,9,-8,-7,-3
4988,13,9,-3,-7,-2
4989,15,11,-39,-5,-4
4990,13,11,-2,-4,-4
4991,15,11,-44,-3,-1
4992,13,11,-77,-5,-2
4993,15,12,-42,-8,1
4994,19,13,-65,-12,0
4995,23,15,-35,-16,-1
4996,22,17,-36,-17,1
4997,22,19,-20,-16,-4
4998,21,19,-12,-14,-1
4999,21,19,-34,-14,-1
5000,24,20,-24,-16,-4
5001,22,21,-52,-19,-3
5002,19,21,-58,-21,-2
5003,17,20,-68,-22,3
5004,16,19,-85,-22,0
5005,15,18,-76,-23,0
5006,16,17,-59,-23,-1
5007,13,17,-4,-22,0
5008,11,16,29,-20,0
5009,10,15,56,-18,1
5010,11,14,103,-16,0
5011,9,13,110,-14,0
5012,13,13,84,-13,-1
5013,13,15,112,-14,-1
5014,10,14,121,-15,-2
5015,4,12,130,-16,0
5016,5,10,146,-16,5
5017,4,9,146,-15,2
5018,4,9,126,-14,1
5019,5,9,148,-12,0
5020,-1,7,106,-12,4
5021,-3,4,161,-12,3
5022,-2,3,158,-12,2
5023,-3,1,147,-11,5
5024,-2,1,170,-12,4
5025,-1,1,164,-13,5
5026,2,3,197,-15,4
5027,4,4,182,-17,3
5028,0,5,200,-18,2
5029,4,4,177,-20,4
5030,5,5,196,-20,3
5031,8,7,198,-18,2
5032,3,7,167,-16,1
5033,9,8,166,-13,-2
5034,9,9,150,-11,0
5035,12,10,135,-10,-2
5036,11,11,123,-10,0
5037,10,12,119,-9,-4
5038,9,11,89,-9,-3
5039,11,12,70,-9,-4
5040,14,12,85,-10,0
5041,12,13,96,-10,-3
5042,16,13,95,-11,-4
5043,15,14,86,-12,-2
5044,13,14,106,-13,-2
5045,10,13,124,-14,1
5046,10,12,107,-14,-1
5047,6,10,112,-15,0
5048,6,8,77,-14,0
5049,1,6,79,-14,0
5050,6,5,78,-13,0
5051,3,4,81,-12,0
5052,9,5,54,-12,2
5053,7,6,53,-12,1
5054,12,8,77,-12,-2
5055,13,9,75,-12,-2
5056,13,11,77,-14,-2
5057,9,10,56,-13,-3
5058,7,9,105,-14,-2
5059,5,7,89,-16,1
5060,4,6,90,-17,1
5061,8,5,56,-17,1
5062,10,6,45,-15,1
5063,14,8,30,-14,-2
5064,16,10,-12,-13,-2
5065,19,13,0,-12,-5
5066,18,14,-47,-13,-3
5067,16,15,-36,-13,-3
5068,19,15,-20,-13,-5
5069,19,15,-20,-13,-2
5070,19,16,-1,-13,-2
5071,22,16,-12,-14,-2
5072,19,17,0,-14,-4
5073,23,18,-32,-14,-1
5074,22,18,-64,-14,-4
5075,25,19,-116,-14,-5
5076,26,20,-133,-15,-4
5077,25,20,-138,-15,-2
5078,26,21,-142,-16,-5
5079,21,21,-127,-19,0
5080,23,20,-101,-21,-2
5081,20,20,-65,-20,0
5082,24,20,-24,-20,0
5083,23,21,-30,-18,-3
5084,26,22,-34,-15,-6
5085,24,22,-61,-14,-6
5086,28,23,-84,-14,-4
5087,25,23,-112,-16,-7
5088,27,23,-87,-19,-6
5089,22,23,-92,-21,-5
5090,24,22,-78,-23,-3
5091,22,21,-28,-22,0
5092,19,20,-12,-23,-4
5093,18,19,-27,-23,0
5094,19,18,-8,-25,-31
5095,19,19,-26,-30,-63
5096,21,19,6,-46,-78
5097,19,19,-15,-68,-55
5098,18,18,-58,-88,-42
5099,23,17,-145,-105,-39
5100,24,17,-207,-122,-34
5101,18,16,-298,-140,-31
5102,19,14,-360,-160,-26
5103,18,12,-428,-182,-23
5104,15,10,-503,-208,-17
5105,17,9,-529,-238,-10
5106,15,7,-479,-272,-3
5107,11,5,-487,-310,1
5108,3,1,-507,-351,18
5109,-4,-4,-530,-392,25
5110,-7,-11,-526,-433,37
5111,-13,-18,-523,-475,46
5112,-23,-25,-563,-517,56
5113,-28,-34,-599,-555,68
5114,-34,-41,-627,-588,72
5115,-44,-50,-648,-618,78
5116,-49,-59,-646,-642,86
5117,-59,-67,-667,-657,84
5118,-69,-76,-623,-667,86
5119,-74,-85,-610,-672,87
5120,-83,-93,-600,-668,85
5121,-93,-102,-593,-659,83
5122,-98,-110,-604,-644,80
5123,-110,-117,-549,-625,77
5124,-120,-125,-508,-603,75
5125,-131,-134,-492,-573,71
5126,-138,-143,-500,-541,67
5127,-149,-151,-479,-508,62
5128,-155,-158,-416,-475,61
5129,-164,-165,-332,-445,56
5130,-169,-171,-301,-418,55
5131,-172,-177,-345,-392,58
5132,-181,-184,-311,-369,58
5133,-192,-190,-332,-352,59
5134,-201,-197,-297,-336,63
5135,-200,-202,-254,-324,67
5136,-202,-206,-283,-316,68
5137,-201,-209,-375,-308,72
5138,-206,-212,-280,-302,69
5139,-213,-215,-323,-301,74
5140,-218,-219,-234,-298,76
5141,-224,-224,-324,-294,81
5142,-228,-229,-374,-292,86
5143,-231,-233,-264,-289,85
5144,-237,-238,-172,-280,84
