index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
198,-304,-300,-28,-11,81
199,-305,-301,6,-12,83
200,-303,-303,-8,-9,83
201,-299,-302,-57,-8,82
202,-300,-301,-36,-9,85
203,-300,-300,61,-12,85
204,-299,-300,-26,-9,82
205,-304,-301,-89,-9,85
206,-305,-302,58,-10,88
207,-301,-302,71,-8,82
208,-303,-303,-139,-6,86
209,-308,-304,-48,-8,88
210,-301,-303,123,-10,85
211,-296,-302,-14,-6,82
212,-300,-301,-87,-5,80
213,-301,-301,38,-9,87
214,-295,-300,113,-10,87
215,-298,-299,-51,-5,83
216,-300,-299,-62,-7,86
217,-302,-300,67,-10,88
218,-302,-301,7,-12,91
219,-301,-301,-88,-12,88
220,-299,-301,-18,-14,85
221,-295,-300,26,-12,88
222,-295,-299,-38,-11,82
223,-297,-298,-3,-10,86
224,-295,-298,0,-7,83
225,-300,-299,-93,-8,83
226,-298,-299,-43,-12,89
227,-299,-299,59,-13,86
228,-299,-299,-57,-12,90
229,-302,-299,-107,-15,87
230,-306,-301,77,-15,93
231,-302,-303,86,-11,86
232,-305,-303,-113,-7,85
233,-303,-304,-50,-7,89
234,-301,-303,119,-6,88
235,-301,-302,-48,-1,82
236,-303,-302,-109,-2,83
237,-305,-302,119,-5,86
238,-299,-302,59,0,86
239,-302,-301,-130,5,83
240,-303,-301,39,3,86
241,-296,-301,150,2,85
242,-298,-300,-49,6,79
243,-304,-300,-71,5,86
244,-302,-301,53,3,88
245,-296,-300,42,5,81
246,-295,-298,-40,7,79
247,-294,-296,-12,5,82
248,-288,-294,21,5,82
249,-287,-292,-38,3,81
250,-294,-291,3,-1,84
251,-289,-291,5,-4,84
252,-288,-290,-56,-5,82
253,-285,-288,-40,-7,85
254,-289,-288,23,-7,85
255,-287,-288,-25,-6,82
256,-291,-289,-83,-7,85
257,-295,-291,18,-7,82
258,-294,-292,103,-6,82
259,-292,-293,-60,-3,80
260,-293,-293,-98,-1,84
261,-293,-293,121,-1,85
262,-291,-293,51,0,81
263,-292,-293,-128,3,81
264,-295,-293,42,0,81
265,-290,-292,139,-1,84
266,-290,-292,-69,2,78
267,-295,-292,-100,-1,85
268,-291,-292,53,-5,87
269,-282,-290,34,-2,80
270,-288,-288,-45,3,74
271,-284,-286,-40,0,75
272,-280,-285,52,0,80
273,-280,-283,44,1,74
274,-285,-282,-61,0,80
275,-285,-283,-16,-2,82
276,-285,-285,28,-2,79
277,-289,-286,-17,-5,84
278,-295,-288,0,-7,86
279,-292,-290,13,-9,83
280,-293,-291,-76,-8,81
281,-294,-292,-20,-9,85
282,-292,-292,53,-7,79
283,-290,-292,-26,-2,77
284,-290,-291,-44,-3,80
285,-292,-290,25,-3,83
286,-289,-290,128,-3,79
287,-288,-290,-23,0,78
288,-290,-290,-94,2,75
289,-283,-288,117,0,78
290,-283,-287,70,3,74
291,-286,-286,-79,5,72
292,-284,-285,-32,3,73
293,-281,-284,73,0,75
294,-280,-283,-11,0,78
295,-285,-283,-42,-1,78
296,-286,-284,-51,-6,78
297,-281,-284,67,-9,84
298,-283,-284,0,-6,75
299,-286,-284,-77,-7,76
300,-284,-284,20,-12,79
301,-278,-283,-32,-12,77
302,-279,-282,-53,-12,77
303,-281,-281,10,-13,79
304,-276,-281,24,-13,76
305,-277,-280,-48,-12,76
306,-280,-280,-85,-12,75
307,-281,-280,66,-13,75
308,-276,-280,14,-10,73
309,-281,-280,-131,-9,77
310,-282,-280,-18,-12,79
311,-279,-281,69,-12,78
312,-279,-281,-26,-12,74
313,-281,-280,-110,-12,77
314,-282,-280,-58,-12,77
315,-278,-281,153,-12,77
316,-277,-281,-25,-11,74
317,-280,-280,-102,-10,73
318,-277,-279,17,-11,76
319,-275,-278,37,-11,75
320,-280,-279,-6,-10,72
321,-284,-280,-95,-8,75
322,-283,-281,-8,-12,74
323,-276,-281,65,-14,78
324,-278,-280,-99,-15,74
325,-276,-279,4,-19,78
326,-277,-279,69,-19,75
327,-276,-278,-67,-16,75
328,-278,-278,-63,-14,71
329,-279,-278,41,-14,72
330,-282,-279,113,-12,74
331,-284,-281,-104,-8,73
332,-287,-283,-81,-11,76
333,-285,-283,63,-16,80
334,-280,-284,36,-16,80
