index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
8899,-338,-338,101,97,86
8900,-332,-336,-5,105,85
8901,-332,-333,184,106,82
8902,-335,-332,242,111,82
8903,-330,-331,194,119,79
8904,-329,-328,85,124,76
8905,-328,-326,114,129,77
8906,-328,-324,187,129,73
8907,-320,-322,212,127,76
8908,-317,-319,151,125,73
8909,-314,-316,51,117,73
8910,-313,-312,122,109,75
8911,-309,-309,112,100,72
8912,-309,-308,92,89,75
8913,-309,-308,50,83,73
8914,-305,-307,21,72,74
8915,-308,-306,48,66,75
8916,-308,-305,47,58,75
8917,-305,-304,75,51,73
8918,-300,-302,-12,46,75
8919,-296,-300,2,39,73
8920,-294,-298,3,31,75
8921,-301,-298,39,26,75
8922,-303,-298,115,22,76
8923,-300,-299,33,23,74
8924,-304,-300,-1,22,76
8925,-303,-301,-27,20,74
8926,-302,-301,23,15,76
8927,-302,-302,26,12,74
8928,-297,-300,67,8,76
8929,-294,-298,47,8,74
8930,-293,-296,-21,8,74
8931,-297,-296,-22,8,75
8932,-296,-296,20,7,73
8933,-297,-296,34,8,75
8934,-294,-295,40,6,73
8935,-291,-295,35,7,75
8936,-292,-294,0,5,73
8937,-292,-294,-65,4,75
8938,-293,-293,-7,1,73
8939,-292,-292,37,2,75
8940,-286,-291,27,1,73
8941,-285,-290,-14,3,71
8942,-283,-288,3,2,73
8943,-288,-287,-10,0,70
8944,-291,-288,0,0,71
8945,-295,-289,58,-3,75
8946,-294,-291,9,0,73
8947,-294,-293,-26,2,73
8948,-293,-293,-44,4,71
8949,-292,-294,-5,6,73
8950,-294,-294,8,5,71
8951,-292,-293,65,6,73
8952,-293,-293,39,7,71
8953,-292,-293,-9,9,73
8954,-292,-293,-5,8,71
8955,-291,-293,-38,7,73
8956,-293,-292,4,4,70
8957,-292,-292,60,2,73
8958,-287,-291,7,3,70
8959,-290,-290,40,3,73
8960,-291,-290,-65,4,70
8961,-291,-291,6,3,72
8962,-290,-291,3,1,70
8963,-292,-291,4,1,72
8964,-294,-292,44,0,70
8965,-291,-292,-16,2,72
8966,-295,-294,15,2,70
8967,-298,-295,-59,2,72
8968,-297,-296,-34,2,70
8969,-305,-297,17,1,72
8970,-302,-299,30,1,72
8971,-298,-300,42,1,72
8972,-302,-300,-5,2,73
8973,-302,-301,-20,5,71
8974,-303,-302,14,6,73
8975,-306,-303,4,7,71
8976,-309,-304,19,6,73
8977,-311,-305,33,7,71
8978,-307,-307,41,9,73
8979,-302,-306,-8,9,71
8980,-304,-306,-58,7,73
8981,-303,-305,-18,4,71
8982,-303,-304,73,2,73
8983,-304,-303,35,5,71
8984,-303,-303,33,6,73
8985,-299,-302,1,8,72
8986,-297,-301,-44,8,70
8987,-302,-301,-1,5,72
8988,-302,-301,-21,3,70
8989,-302,-301,32,2,72
8990,-298,-300,100,2,74
8991,-296,-299,7,1,73
8992,-298,-298,-22,1,70
8993,-296,-297,-17,1,73
8994,-294,-296,-54,2,72
8995,-297,-296,44,2,70
8996,-297,-296,71,3,71
8997,-298,-296,7,2,70
8998,-303,-298,-5,3,72
8999,-304,-300,-17,3,70
9000,-305,-302,-34,3,73
9001,-301,-302,9,4,71
9002,-305,-302,-12,3,71
9003,-299,-301,38,2,70
9004,-295,-300,37,2,72
9005,-296,-299,-36,1,70
9006,-297,-298,-83,3,72
9007,-301,-299,-39,3,69
9008,-301,-300,17,1,71
9009,-303,-299,46,0,69
9010,-307,-300,7,0,71
9011,-307,-304,-12,1,71
9012,-304,-305,-23,2,72
9013,-302,-304,-43,3,70
9014,-305,-304,-30,3,72
9015,-303,-303,19,2,70
9016,-303,-302,36,1,72
9017,-304,-302,21,3,70
9018,-303,-303,18,3,72
9019,-301,-303,-55,6,70
9020,-299,-302,-27,6,69
9021,-300,-301,-21,6,71
9022,-305,-302,2,6,72
9023,-301,-302,43,5,70
9024,-299,-301,39,7,72
9025,-303,-301,5,6,70
9026,-300,-301,-38,5,70
9027,-298,-300,-29,3,70
9028,-299,-299,1,0,71
9029,-301,-299,63,-1,71
9030,-298,-299,40,0,70
9031,-296,-299,21,0,72
9032,-295,-298,-59,0,70
9033,-296,-297,-29,0,72
9034,-295,-296,-39,-2,70
9035,-301,-297,-14,-3,72
9036,-302,-298,35,-5,70
9037,-296,-298,26,-4,72
9038,-298,-299,-1,-2,70
9039,-301,-300,-39,-2,72
9040,-304,-302,-39,0,70
9041,-305,-302,-42,0,72
9042,-304,-302,47,0,70
9043,-306,-303,90,0,72
9044,-308,-304,16,0,72
9045,-301,-304,-30,0,71
9046,-301,-303,-34,0,69
9047,-300,-303,-8,-1,71
9048,-302,-302,-29,-1,71
9049,-305,-302,21,-2,70
9050,-302,-302,59,-1,72
9051,-304,-303,54,2,70
9052,-301,-303,-34,2,72
9053,-299,-302,-76,4,70
9054,-301,-302,-16,2,72
9055,-299,-300,11,0,70
9056,-296,-298,74,1,72
