index,roll_H,Kalman_roll,gyro_x,Kalman_gyro,torque
11211,-206,-206,180,3,54
11212,-206,-207,32,6,53
11213,-214,-208,-45,7,51
11214,-211,-209,39,5,52
11215,-209,-209,90,6,54
11216,-205,-208,-97,11,52
11217,-210,-207,-130,11,51
11218,-211,-208,22,7,54
11219,-207,-209,60,7,52
11220,-205,-208,-85,7,52
11221,-208,-208,-38,5,55
11222,-207,-207,81,3,53
11223,-208,-208,101,4,55
11224,-209,-208,28,5,53
11225,-206,-208,95,3,53
11226,-205,-207,100,2,53
11227,-206,-207,-27,3,53
11228,-212,-207,-22,3,53
11229,-212,-209,10,4,54
11230,-211,-210,-66,6,54
11231,-213,-211,-76,9,53
11232,-216,-212,3,9,55
11233,-212,-213,6,12,53
11234,-214,-213,-57,13,55
11235,-215,-213,-36,10,53
11236,-210,-212,97,7,54
11237,-206,-211,89,9,53
11238,-207,-209,9,8,54
11239,-210,-208,74,4,56
11240,-211,-209,132,1,56
11241,-209,-210,-70,2,55
11242,-214,-210,-99,3,55
11243,-215,-211,37,5,53
11244,-208,-211,-22,11,52
11245,-208,-210,-92,15,50
11246,-208,-209,-17,13,51
11247,-206,-208,81,12,52
11248,-205,-208,2,12,53
11249,-208,-207,6,10,54
11250,-205,-207,83,6,56
11251,-197,-205,70,2,55
11252,-202,-203,6,2,53
11253,-208,-203,43,3,54
11254,-204,-204,40,5,52
11255,-202,-204,-64,10,54
11256,-206,-203,-61,9,52
11257,-207,-204,22,8,54
11258,-208,-205,-45,10,53
11259,-207,-206,-57,12,53
11260,-208,-207,60,10,53
11261,-207,-206,64,11,54
11262,-205,-206,-41,10,52
11263,-208,-207,-31,7,54
11264,-206,-207,117,3,55
11265,-200,-205,76,1,55
11266,-201,-204,-69,0,52
11267,-205,-203,1,-4,56
11268,-206,-204,91,-3,54
11269,-205,-204,-88,3,53
11270,-211,-206,-186,5,53
11271,-211,-208,6,5,55
11272,-207,-208,68,5,53
11273,-203,-207,-89,7,53
11274,-202,-205,-64,7,52
11275,-203,-204,65,6,54
11276,-200,-203,36,6,52
11277,-204,-203,1,4,54
11278,-207,-204,90,0,54
11279,-204,-205,141,0,55
11280,-203,-205,-12,1,53
11281,-207,-204,-24,3,53
11282,-209,-205,33,4,53
11283,-206,-205,-18,9,53
11284,-211,-207,-54,13,51
11285,-213,-208,6,10,55
11286,-209,-209,38,10,53
11287,-206,-209,-109,10,53
11288,-207,-207,-63,10,53
11289,-209,-208,115,8,55
11290,-209,-209,52,11,52
11291,-206,-208,-57,13,51
11292,-207,-208,28,9,53
11293,-208,-207,185,6,53
11294,-212,-208,12,8,55
11295,-211,-209,-97,6,53
11296,-213,-210,76,4,54
11297,-208,-209,84,6,55
11298,-204,-208,-58,7,54
11299,-204,-206,-96,8,52
11300,-203,-205,74,6,54
11301,-199,-204,5,4,53
11302,-199,-202,-113,4,51
11303,-198,-202,-12,3,52
11304,-201,-202,66,3,54
11305,-202,-202,17,4,52
11306,-199,-201,-4,4,54
11307,-200,-200,59,0,56
11308,-201,-201,35,-1,55
11309,-204,-202,-41,0,53
11310,-207,-203,40,-1,55
11311,-202,-203,88,1,53
11312,-202,-202,-83,5,53
11313,-203,-202,-74,4,52
11314,-205,-203,21,4,54
11315,-202,-203,44,5,52
11316,-202,-203,-90,9,54
11317,-201,-202,-21,8,51
11318,-203,-203,86,9,54
11319,-204,-203,8,13,50
11320,-203,-203,-55,13,52
11321,-205,-203,65,7,52
11322,-196,-202,177,2,54
11323,-199,-201,-28,3,52
11324,-203,-201,-63,2,54
11325,-204,-201,0,2,52
11326,-207,-203,-31,5,61
11327,-212,-205,-89,13,79
11328,-212,-207,24,34,80
11329,-211,-208,26,61,76
11330,-211,-209,-45,80,73
11331,-214,-209,-24,85,72
11332,-210,-208,54,83,75
11333,-207,-207,-29,78,79
11334,-207,-206,40,72,83
11335,-206,-206,137,69,83
11336,-202,-204,30,72,82
11337,-204,-202,4,74,86
11338,-202,-200,126,78,86
11339,-203,-200,54,87,83
11340,-203,-200,-46,97,84
11341,-210,-201,141,100,85
11342,-207,-202,154,109,85
11343,-206,-203,18,119,85
11344,-205,-202,222,125,86
11345,-201,-201,254,135,85
11346,-200,-200,49,146,83
11347,-197,-197,213,154,85
11348,-194,-195,281,169,81
11349,-194,-192,92,183,79
11350,-192,-188,313,193,76
11351,-187,-185,299,205,78
11352,-186,-182,167,214,74
11353,-184,-180,308,218,74
11354,-178,-177,236,226,74
11355,-177,-174,147,234,72
11356,-176,-172,312,240,69
11357,-174,-169,260,247,70
11358,-173,-167,249,252,67
11359,-162,-163,368,256,65
11360,-158,-159,287,264,62
11361,-157,-154,239,272,58
11362,-152,-150,390,281,59
11363,-148,-145,308,292,54
11364,-145,-141,321,297,49
11365,-143,-138,425,300,49
11366,-138,-134,342,305,44
11367,-133,-131,302,310,44
11368,-130,-126,434,314,40
11369,-124,-122,369,321,35
11370,-116,-117,292,327,35
11371,-115,-111,425,327,30
11372,-110,-106,489,330,29
11373,-98,-100,384,335,24
11374,-93,-94,362,333,22
11375,-88,-87,478,330,20
11376,-83,-81,495,330,16
